trade_date,calendar_date,dte_remaining,spot,pnl_usd,source
2025-10-24,2025-10-27,4,25821.5500,-1559.8300,bs_model
2025-10-24,2025-10-28,3,26012.1500,-3004.3000,bs_model
2025-10-24,2025-10-29,2,26119.8500,-4179.2700,bs_model
2025-10-24,2025-10-30,1,25734.8100,728.2200,bs_model
2025-10-24,2025-10-31,0,25858.1300,1935.0000,intrinsic
2025-10-31,2025-10-31,7,25858.1300,-0.0000,market
2025-10-31,2025-11-03,4,25972.9400,382.7600,bs_model
2025-10-31,2025-11-04,3,25435.7000,397.7700,bs_model
2025-10-31,2025-11-05,2,25620.0300,1313.9500,bs_model
2025-10-31,2025-11-06,1,25130.0400,-1396.9300,bs_model
2025-10-31,2025-11-07,0,25059.8100,-3105.0000,intrinsic
2025-11-28,2025-11-28,7,25434.8900,-0.0000,market
2025-11-28,2025-12-01,4,25342.8500,510.0000,market
2025-11-28,2025-12-02,3,25555.8600,630.0000,market
2025-11-28,2025-12-03,2,25606.5400,1144.9500,bs_model
2025-11-28,2025-12-04,1,25581.7000,1823.5400,bs_model
2025-11-28,2025-12-05,0,25692.0500,2020.0000,intrinsic
2025-12-19,2025-12-19,7,25346.1800,0.0000,market
2025-12-19,2025-12-22,4,25461.7000,515.0000,market
2025-12-19,2025-12-23,3,25587.8300,-567.2100,bs_model
2025-12-19,2025-12-24,2,25656.1500,-1061.5200,bs_model
2025-12-19,2025-12-26,0,25644.3900,1930.0000,intrinsic
2025-12-26,2025-12-26,7,25644.3900,0.0000,market
2025-12-26,2025-12-29,4,25525.5600,492.5000,market
2025-12-26,2025-12-30,3,25462.5600,751.0200,bs_model
2025-12-26,2025-12-31,2,25249.8500,-908.5900,bs_model
2025-12-26,2026-01-02,0,25206.1700,-3200.0000,intrinsic
2026-01-02,2026-01-02,7,25206.1700,-0.0000,market
2026-01-02,2026-01-05,4,25401.3200,133.0300,bs_model
2026-01-02,2026-01-06,3,25639.7100,-1322.0600,bs_model
2026-01-02,2026-01-07,2,25653.9000,-1117.5700,bs_model
2026-01-02,2026-01-08,1,25507.1000,1211.6200,bs_model
2026-01-02,2026-01-09,0,25766.2600,444.0200,intrinsic
2026-01-09,2026-01-09,7,25766.2600,260.0000,market
2026-01-09,2026-01-12,4,25787.6600,600.0000,market
2026-01-09,2026-01-13,3,25741.9500,1405.4100,bs_model
2026-01-09,2026-01-14,2,25465.9400,942.6000,bs_model
2026-01-09,2026-01-15,1,25547.0700,1781.2200,bs_model
2026-01-09,2026-01-16,0,25529.2600,2140.0000,intrinsic
2026-01-16,2026-01-16,7,25529.2600,-0.0000,market
2026-01-16,2026-01-20,3,24987.5700,-355.0000,market
2026-01-16,2026-01-21,2,25326.5800,1313.7700,bs_model
2026-01-16,2026-01-22,1,25518.3500,1873.1800,bs_model
2026-01-16,2026-01-23,0,25605.4700,1910.0000,intrinsic
2026-01-23,2026-01-23,7,25605.4700,0.0000,market
2026-01-23,2026-01-26,4,25713.2100,371.7400,bs_model
2026-01-23,2026-01-27,3,25939.7400,-242.2000,bs_model
2026-01-23,2026-01-28,2,26022.7900,-341.3900,bs_model
2026-01-23,2026-01-29,1,25884.3000,1368.4000,bs_model
2026-01-23,2026-01-30,0,25552.3900,1855.0000,intrinsic
2026-02-27,2026-02-27,7,24960.0400,0.0000,market
2026-02-27,2026-03-02,4,24992.6000,345.0000,market
2026-02-27,2026-03-03,3,24720.0800,547.5000,market
2026-02-27,2026-03-04,2,25093.6800,1012.5000,market
2026-02-27,2026-03-05,1,25020.4100,1287.5000,market
2026-02-27,2026-03-06,0,24643.0200,1475.0000,intrinsic
2026-03-06,2026-03-06,7,24643.0200,-0.0000,market
2026-03-06,2026-03-09,4,24967.2500,560.0000,market
2026-03-06,2026-03-10,3,24956.4700,1440.0000,market
2026-03-06,2026-03-11,2,24965.0100,1447.5000,market
2026-03-06,2026-03-12,1,24533.5800,1497.5000,market
2026-03-06,2026-03-13,0,24380.7300,1555.0000,intrinsic
2026-03-20,2026-03-20,7,23898.1500,0.0000,market
2026-03-20,2026-03-23,4,24188.5900,155.0000,market
2026-03-20,2026-03-24,3,24002.4500,1400.3200,bs_model
2026-03-20,2026-03-25,2,24162.9800,1441.0400,bs_model
2026-03-20,2026-03-26,1,23586.9900,2312.3200,bs_model
2026-03-20,2026-03-27,0,23132.7700,2325.0000,intrinsic
