trade_date,exp_date,spot_entry,atm_strike,iv_atm,iv_atm_pct,expected_move,em_pct,upper_target,lower_target,min_bid_used,exit_method,short_put,long_put,short_call,long_call,put_width_real,call_width_real,mid_sp,mid_lp,mid_sc,mid_lc,total_credit,bep_upper,bep_lower,bep_score,constraint_satisfied,spot_exit,put_cost,call_cost,exit_cost,pnl_points,pnl_usd,max_risk_usd,in_range,result
2025-09-12,2025-09-19,24092.1900,24100.0000,0.1297,12.9700,432.5700,1.8000,24524.7600,23659.6200,0.0500,market,23650.0000,23600.0000,24525.0000,24625.0000,50.0000,100.0000,57.5000,51.6500,26.3000,17.5500,14.6000,24539.6000,23635.4000,806.6998,True,24626.2500,0.0000,100.0000,100.0000,-85.4000,-8540.0000,8540.0000,False,MAX_LOSS
2025-09-19,2025-09-26,24626.2500,24625.0000,0.1271,12.7100,433.3300,1.7600,25059.5800,24192.9200,0.0500,market,24200.0000,24150.0000,25050.0000,25150.0000,50.0000,100.0000,58.1000,51.4500,27.4500,15.8500,18.2500,25068.2500,24181.7500,199.9875,True,24503.8500,0.0000,0.0000,0.0000,18.2500,1825.0000,8175.0000,True,WIN
2025-09-26,2025-10-03,24503.8500,24500.0000,0.1463,14.6300,496.5100,2.0300,25000.3600,24007.3400,0.0500,market,24025.0000,23975.0000,25000.0000,25100.0000,50.0000,100.0000,64.5500,57.6500,28.0500,16.1500,18.8000,25018.8000,24006.2000,341.3775,True,24785.5200,0.0000,0.0000,0.0000,18.8000,1880.0000,8120.0000,True,WIN
2025-10-03,2025-10-10,24785.5200,24775.0000,0.1345,13.4500,461.6100,1.8600,25247.1300,24323.9100,0.0500,market,24325.0000,24275.0000,25250.0000,25350.0000,50.0000,100.0000,62.3000,55.9000,24.1500,13.5000,17.0500,25267.0500,24307.9500,651.4906,True,24221.7400,50.0000,0.0000,50.0000,-32.9500,-3295.0000,8295.0000,False,LOSS
2025-10-24,2025-10-31,25358.1600,25350.0000,0.1803,18.0300,633.2300,2.5000,25991.3900,24724.9300,0.0500,market,24725.0000,24675.0000,25975.0000,26075.0000,50.0000,100.0000,82.3000,75.8000,36.7500,23.9000,19.3500,25994.3500,24705.6500,380.5140,True,25858.1300,0.0000,0.0000,0.0000,19.3500,1935.0000,8065.0000,True,WIN
2025-10-31,2025-11-07,25858.1300,25850.0000,0.1723,17.2300,616.8800,2.3900,26475.0100,25241.2500,0.0500,market,25250.0000,25200.0000,26475.0000,26575.0000,50.0000,100.0000,75.3000,68.2000,35.7000,23.8500,18.9500,26493.9500,25231.0500,462.5752,True,25059.8100,50.0000,0.0000,50.0000,-31.0500,-3105.0000,8105.0000,False,LOSS
2025-11-28,2025-12-05,25434.8900,25425.0000,0.1567,15.6700,552.0900,2.1700,25986.9800,24882.8000,0.0500,market,24900.0000,24850.0000,25975.0000,26075.0000,50.0000,100.0000,66.1500,58.9000,32.9500,20.0000,20.2000,25995.2000,24879.8000,76.6298,True,25692.0500,0.0000,0.0000,0.0000,20.2000,2020.0000,7980.0000,True,WIN
2025-12-19,2025-12-26,25346.1800,25350.0000,0.1120,11.2000,393.1400,1.5500,25739.3200,24953.0300,0.0500,market,24950.0000,24900.0000,25725.0000,25825.0000,50.0000,100.0000,46.8000,40.4500,25.8500,12.9000,19.3000,25744.3000,24930.7000,523.5976,True,25644.3900,0.0000,0.0000,0.0000,19.3000,1930.0000,8070.0000,True,WIN
2025-12-26,2026-01-02,25644.3900,25650.0000,0.0995,9.9500,353.4200,1.3800,25997.8100,25290.9700,0.0500,market,25300.0000,25250.0000,26000.0000,26100.0000,50.0000,100.0000,44.5500,38.3000,21.8000,10.0500,18.0000,26018.0000,25282.0000,488.3260,True,25206.1700,50.0000,0.0000,50.0000,-32.0000,-3200.0000,8200.0000,False,LOSS
2026-01-02,2026-01-09,25206.1700,25200.0000,0.1569,15.6900,547.6100,2.1700,25753.7800,24658.5600,0.0500,market,24675.0000,24625.0000,25750.0000,25850.0000,50.0000,100.0000,60.9000,53.6500,32.2000,18.7500,20.7000,25770.7000,24654.3000,304.2606,True,25766.2600,0.0000,16.2598,16.2598,4.4402,444.0200,7930.0000,False,WIN
2026-01-09,2026-01-16,25766.2600,25775.0000,0.1278,12.7800,455.8800,1.7700,26222.1400,25310.3800,0.0500,market,25325.0000,25275.0000,26225.0000,26325.0000,50.0000,100.0000,58.0000,51.1000,32.7500,18.2500,21.4000,26246.4000,25303.6000,634.4493,True,25529.2600,0.0000,0.0000,0.0000,21.4000,2140.0000,7860.0000,True,WIN
2026-01-16,2026-01-23,25529.2600,25525.0000,0.1359,13.5900,480.6200,1.8800,26009.8800,25048.6400,0.0500,market,25050.0000,25000.0000,26000.0000,26100.0000,50.0000,100.0000,58.7500,52.0500,26.3000,13.9000,19.1000,26019.1000,25030.9000,399.6842,True,25605.4700,0.0000,0.0000,0.0000,19.1000,1910.0000,8090.0000,True,WIN
2026-01-23,2026-01-30,25605.4700,25600.0000,0.1814,18.1400,643.4100,2.5100,26248.8800,24962.0600,0.0500,market,24975.0000,24925.0000,26250.0000,26350.0000,50.0000,100.0000,86.9500,79.1500,25.4500,14.7000,18.5500,26268.5500,24956.4500,418.3004,True,25552.3900,0.0000,0.0000,0.0000,18.5500,1855.0000,8145.0000,True,WIN
2026-02-27,2026-03-06,24960.0400,24950.0000,0.2174,21.7400,751.5800,3.0100,25711.6200,24208.4600,0.0500,market,24200.0000,24150.0000,25700.0000,25800.0000,50.0000,100.0000,112.0000,104.4000,14.9500,7.8000,14.7500,25714.7500,24185.2500,548.6728,True,24643.0200,0.0000,0.0000,0.0000,14.7500,1475.0000,8525.0000,True,WIN
2026-03-06,2026-03-13,24643.0200,24650.0000,0.3098,30.9800,1057.0900,4.2900,25700.1100,23585.9300,0.0500,market,23600.0000,23550.0000,25700.0000,25800.0000,50.0000,100.0000,153.8000,145.7000,16.3000,8.8500,15.5500,25715.5500,23584.4500,240.7449,True,24380.7300,0.0000,0.0000,0.0000,15.5500,1555.0000,8445.0000,True,WIN
2026-03-20,2026-03-27,23898.1500,23900.0000,0.2791,27.9100,923.7300,3.8700,24821.8800,22974.4200,0.0500,market,22600.0000,22500.0000,24800.0000,24900.0000,100.0000,100.0000,57.9500,50.4000,45.3000,29.6000,23.2500,24823.2500,22576.7500,158140.3932,True,23132.7700,0.0000,0.0000,0.0000,23.2500,2325.0000,7675.0000,True,WIN
