trade_date,exp_date,underlying,dte_entry,spot_entry,vix_entry,roll_dir,restruck,short_put,long_put,delta_short,delta_long,iv_short,iv_long,dte_close,cash_close,cash_open,net_roll,net_roll_usd,dd_index,k_gap,mark,cum_pnl_pts,pnl_usd,pnl_usd_at_exp,result,exit_method,in_range
2023-12-01,2024-01-12,SPX,42,4563.52,12.82,up,1,4460.0,4330.0,-0.248,-0.124,0.1021,0.137,35,-2.3,0.65,-1.65,-165.0,-5.28,0.0,-0.65,-479.3,-140.0,-140.0,loss,roll,0
2023-12-08,2024-01-19,SPX,42,4584.37,12.78,up,1,4480.0,4350.0,-0.248,-0.124,0.1022,0.1365,35,-2.1,1.3,-0.8,-80.0,-4.84,0.0,-1.3,-480.75,-145.0,-145.0,loss,roll,0
2023-12-15,2024-01-26,SPX,42,4711.31,12.28,up,1,4620.0,4495.0,-0.253,-0.126,0.0889,0.123,35,0.8,1.15,1.95,195.0,-2.21,0.0,-1.15,-478.65,210.0,210.0,win,roll,1
2023-12-22,2024-02-02,SPX,42,4768.16,13.83,up,1,4650.0,4510.0,-0.248,-0.127,0.1117,0.1471,35,0.35,0.05,0.4,40.0,-1.03,0.0,-0.05,-477.15,150.0,150.0,win,roll,1
2023-12-29,2024-02-09,SPX,42,4785.93,12.65,up,1,4680.0,4550.0,-0.25,-0.127,0.1003,0.1332,35,-2.75,0.6,-2.15,-215.0,-0.66,0.0,-0.6,-479.85,-270.0,-270.0,loss,roll,0
2024-01-05,2024-02-16,SPX,42,4699.58,13.56,down,0,4680.0,4550.0,-0.396,-0.21,1.5067,0.1216,35,-7.3,2.35,-4.95,-495.0,-2.45,0.0,-2.35,-486.55,-670.0,-670.0,loss,roll,0
2024-01-12,2024-02-23,SPX,42,4787.74,12.66,up,1,4680.0,4550.0,-0.245,-0.124,0.0997,0.1327,35,-2.8,0.85,-1.95,-195.0,-0.62,0.0,-0.85,-487.0,-45.0,-45.0,loss,roll,0
2024-01-19,2024-03-01,SPX,42,4794.54,13.76,up,1,4680.0,4525.0,-0.249,-0.118,0.1081,0.1472,35,-0.4,2.45,2.05,205.0,-0.48,0.0,-2.45,-486.55,45.0,45.0,win,roll,1
2024-01-26,2024-03-08,SPX,42,4892.54,13.56,up,1,4780.0,4650.0,-0.247,-0.131,0.1028,0.1364,35,-0.05,-1.35,-1.4,-140.0,-0.22,0.0,1.35,-484.15,240.0,240.0,win,roll,1
2024-02-02,2024-03-15,SPX,42,4920.8,13.95,up,1,4805.0,4650.0,-0.253,-0.126,0.1084,0.149,35,0.0,0.15,0.15,15.0,-0.19,0.0,-0.15,-485.5,-135.0,-135.0,loss,roll,0
2024-02-09,2024-03-22,SPX,42,5008.64,12.83,up,1,4900.0,4760.0,-0.251,-0.125,0.0985,0.133,35,-0.85,1.35,0.5,50.0,0.0,0.0,-1.35,-486.2,-70.0,-70.0,loss,roll,0
2024-02-16,2024-03-28,SPX,41,5006.97,14.54,down,0,4900.0,4760.0,-0.268,-0.142,0.107,0.1441,34,-0.85,-1.55,-2.4,-240.0,-0.81,0.0,1.55,-485.7,50.0,50.0,win,roll,1
2024-02-23,2024-04-05,SPX,42,5107.19,14.19,up,1,4990.0,4850.0,-0.247,-0.126,0.1026,0.1359,35,1.1,0.2,1.3,130.0,-0.07,0.0,-0.2,-486.15,-45.0,-45.0,loss,roll,0
2024-03-01,2024-04-12,SPX,42,5099.71,13.28,down,0,4990.0,4850.0,-0.25,-0.126,0.0974,0.1317,35,-2.4,0.55,-1.85,-185.0,-0.21,0.0,-0.55,-488.35,-220.0,-220.0,loss,roll,0
2024-03-08,2024-04-19,SPX,42,5185.2,14.05,up,1,5065.0,4920.0,-0.249,-0.125,0.105,0.1372,35,-0.05,1.6,1.55,155.0,0.0,0.0,-1.6,-487.85,50.0,50.0,win,roll,1
2024-03-15,2024-04-26,SPX,42,5118.91,14.91,down,0,5065.0,4920.0,-0.345,-0.18,0.081,0.1308,35,-5.45,2.15,-3.3,-330.0,-1.34,0.0,-2.15,-491.7,-385.0,-385.0,loss,roll,0
2024-03-22,2024-05-03,SPX,42,5238.06,12.91,up,1,5125.0,4980.0,-0.251,-0.122,0.0984,0.1303,35,-1.85,2.7,0.85,85.0,-0.43,0.0,-2.7,-491.4,30.0,30.0,win,roll,1
2024-04-05,2024-05-17,SPX,42,5178.55,16.15,down,0,5125.0,4980.0,-0.359,-0.204,0.0887,0.1433,35,-5.55,-3.0,-8.55,-855.0,-1.63,0.0,3.0,-494.25,-285.0,-285.0,loss,roll,0
