trade_date,exp_date,underlying,dte_entry,structure,spot_entry,expected_move,short_put,long_put,short_call,long_call,put_width,call_width,retained_dist,total_credit,spot_exit,vix_entry,pnl_usd,pnl_usd_at_exp,result,exit_method,effective_close_date,effective_dit_at_close,in_range,max_risk_usd,pnl_tp10,pnl_tp25,pnl_tp50,pnl_tp75
2025-04-16,2025-04-16,SPX,0,RJL,5342.42,64.1,5340.0,5330.0,5390.0,5420.0,10.0,30.0,47.58,1060.0,5275.7,30.11,60.0,60.0,WIN,expiration,2025-04-16,0,,1940.0,106.0,265.0,60.0,60.0
2025-04-17,2025-04-17,SPX,0,RJL,5296.31,59.8,5295.0,5285.0,5345.0,5375.0,10.0,30.0,48.69,1015.0,5282.7,32.69,15.0,15.0,WIN,expiration,2025-04-17,0,,1985.0,101.5,253.75,507.5,15.0
2025-04-21,2025-04-21,SPX,0,RJL,5230.41,55.4,5230.0,5220.0,5275.0,5305.0,10.0,30.0,44.59,1005.0,5158.2,29.65,5.0,5.0,WIN,expiration,2025-04-21,0,,1995.0,100.5,5.0,5.0,5.0
2025-04-22,2025-04-22,SPX,0,RJL,5208.99,53.35,5205.0,5195.0,5245.0,5275.0,10.0,30.0,36.01,1075.0,5287.76,33.84,-1925.0,-1925.0,LOSS,expiration,2025-04-22,0,,1925.0,107.5,-1925.0,-1925.0,-1925.0
2025-04-23,2025-04-23,SPX,0,RJL,5419.87,56.8,5415.0,5405.0,5460.0,5490.0,10.0,30.0,40.13,1025.0,5375.86,30.56,25.0,25.0,WIN,expiration,2025-04-23,0,,1975.0,102.5,256.25,25.0,25.0
2025-04-24,2025-04-24,SPX,0,RJL,5378.34,56.95,5375.0,5365.0,5420.0,5450.0,10.0,30.0,41.66,1055.0,5484.77,28.42,-1945.0,-1945.0,LOSS,expiration,2025-04-24,0,,1945.0,-1945.0,-1945.0,-1945.0,-1945.0
2025-04-25,2025-04-25,SPX,0,RJL,5487.88,56.95,5485.0,5475.0,5530.0,5560.0,10.0,30.0,42.12,1055.0,5525.21,26.48,1055.0,1055.0,WIN,expiration,2025-04-25,0,,1945.0,105.5,263.75,527.5,791.25
2025-04-28,2025-04-28,SPX,0,RJL,5537.85,43.95,5535.0,5525.0,5565.0,5595.0,10.0,30.0,27.15,1070.0,5528.75,24.87,434.0,434.0,WIN,expiration,2025-04-28,0,,1930.0,107.0,267.5,535.0,802.5
2025-04-29,2025-04-29,SPX,0,RJL,5508.81,49.7,5505.0,5495.0,5545.0,5575.0,10.0,30.0,36.19,1035.0,5560.83,25.15,-495.0,-495.0,LOSS,expiration,2025-04-29,0,,1965.0,103.5,258.75,-495.0,-495.0
2025-04-30,2025-04-30,SPX,0,RJL,5478.09,58.2,5475.0,5465.0,5520.0,5550.0,10.0,30.0,41.91,1050.0,5569.06,24.18,-1950.0,-1950.0,LOSS,expiration,2025-04-30,0,,1950.0,105.0,262.5,-1950.0,-1950.0
2025-05-01,2025-05-01,SPX,0,RJL,5623.01,50.2,5620.0,5610.0,5655.0,5685.0,10.0,30.0,31.99,1060.0,5604.14,24.8,60.0,60.0,WIN,expiration,2025-05-01,0,,1940.0,106.0,265.0,530.0,795.0
2025-05-02,2025-05-02,SPX,0,RJL,5661.79,43.7,5660.0,5650.0,5690.0,5720.0,10.0,30.0,28.21,1067.0,5686.67,24.6,1067.0,1067.0,WIN,expiration,2025-05-02,0,,1933.0,106.7,266.75,533.5,800.25
2025-05-05,2025-05-05,SPX,0,RJL,5645.39,40.05,5645.0,5635.0,5670.0,5700.0,10.0,30.0,24.61,1040.0,5650.38,22.71,1040.0,1040.0,WIN,expiration,2025-05-05,0,,1960.0,104.0,260.0,520.0,780.0
2025-05-06,2025-05-06,SPX,0,RJL,5597.63,38.25,5595.0,5585.0,5620.0,5650.0,10.0,30.0,22.37,1105.0,5606.91,23.64,1105.0,1105.0,WIN,expiration,2025-05-06,0,,1895.0,110.5,276.25,552.5,828.75
2025-05-07,2025-05-07,SPX,0,RJL,5615.4,54.35,5615.0,5605.0,5655.0,5685.0,10.0,30.0,39.6,1060.0,5631.28,24.76,1060.0,1060.0,WIN,expiration,2025-05-07,0,,1940.0,106.0,265.0,530.0,795.0
2025-05-08,2025-05-08,SPX,0,RJL,5671.95,45.3,5670.0,5660.0,5700.0,5730.0,10.0,30.0,28.05,1080.0,5663.94,23.57,466.0,466.0,WIN,expiration,2025-05-08,0,,1920.0,108.0,270.0,540.0,810.0
2025-05-09,2025-05-09,SPX,0,RJL,5687.11,36.55,5685.0,5675.0,5705.0,5735.0,10.0,30.0,17.89,1100.0,5659.91,22.45,100.0,100.0,WIN,expiration,2025-05-09,0,,1900.0,110,275,100.0,100.0
2025-05-12,2025-05-12,SPX,0,RJL,5820.17,41.5,5820.0,5810.0,5840.0,5870.0,10.0,30.0,19.83,1135.0,5844.19,21.87,677.0,677.0,WIN,expiration,2025-05-12,0,,1865.0,113.5,283.75,567.5,851.25
2025-05-13,2025-05-13,SPX,0,RJL,5846.8,32.55,5840.0,5830.0,5860.0,5890.0,10.0,30.0,13.2,1058.0,5886.55,18.4,-1429.0,-1429.0,LOSS,expiration,2025-05-13,0,,1942.0,-1429.0,-1429.0,-1429.0,-1429.0
2025-05-14,2025-05-14,SPX,0,RJL,5900.22,30.7,5900.0,5890.0,5915.0,5945.0,10.0,30.0,14.78,1052.0,5892.58,18.22,204.0,204.0,WIN,expiration,2025-05-14,0,,1948.0,105.2,263.0,204.0,204.0
2025-05-15,2025-05-15,SPX,0,RJL,5868.76,31.8,5865.0,5855.0,5885.0,5915.0,10.0,30.0,16.24,1060.0,5916.93,18.63,-1940.0,-1940.0,LOSS,expiration,2025-05-15,0,,1940.0,106.0,-1940.0,-1940.0,-1940.0
2025-05-16,2025-05-16,SPX,0,RJL,5923.71,32.15,5920.0,5910.0,5940.0,5970.0,10.0,30.0,16.29,1008.0,5958.38,17.82,-832.0,-832.0,LOSS,expiration,2025-05-16,0,,1992.0,100.8,252.0,-832.0,-832.0
2025-05-19,2025-05-19,SPX,0,RJL,5900.43,34.2,5900.0,5890.0,5920.0,5950.0,10.0,30.0,19.57,1077.0,5963.6,17.24,-1923.0,-1923.0,LOSS,expiration,2025-05-19,0,,1923.0,-1923.0,-1923.0,-1923.0,-1923.0
2025-05-20,2025-05-20,SPX,0,RJL,5948.02,28.95,5945.0,5935.0,5960.0,5990.0,10.0,30.0,11.98,1093.0,5940.46,18.15,675.0,675.0,WIN,expiration,2025-05-20,0,,1907.0,109.3,273.25,546.5,675.0
2025-05-21,2025-05-21,SPX,0,RJL,5903.5,33.55,5900.0,5890.0,5920.0,5950.0,10.0,30.0,16.5,1095.0,5844.61,18.1,95.0,95.0,WIN,expiration,2025-05-21,0,,1905.0,109.5,273.75,95.0,95.0
2025-05-22,2025-05-22,SPX,0,RJL,5838.44,39.9,5835.0,5825.0,5865.0,5895.0,10.0,30.0,26.56,1015.0,5842.01,20.88,1015.0,1015.0,WIN,expiration,2025-05-22,0,,1985.0,101.5,253.75,507.5,761.25
2025-05-23,2025-05-23,SPX,0,RJL,5771.89,53.2,5770.0,5760.0,5815.0,5845.0,10.0,30.0,43.11,1050.0,5802.82,20.27,1050.0,1050.0,WIN,expiration,2025-05-23,0,,1950.0,105.0,262.5,525.0,787.5
2025-05-27,2025-05-27,SPX,0,RJL,5872.76,32.5,5870.0,5860.0,5890.0,5920.0,10.0,30.0,17.24,1053.0,5921.54,22.32,-1948.0,-1948.0,LOSS,expiration,2025-05-27,0,,1947.0,105.3,-1948.0,-1948.0,-1948.0
2025-05-28,2025-05-28,SPX,0,RJL,5930.12,28.3,5930.0,5920.0,5945.0,5975.0,10.0,30.0,14.88,1010.0,5888.55,18.97,10.0,10.0,WIN,expiration,2025-05-28,0,,1990.0,101.0,252.5,10.0,10.0
2025-05-29,2025-05-29,SPX,0,RJL,5936.74,40.85,5935.0,5925.0,5965.0,5995.0,10.0,30.0,28.26,1015.0,5912.17,19.3,15.0,15.0,WIN,expiration,2025-05-29,0,,1985.0,101.5,253.75,15.0,15.0
2025-05-30,2025-05-30,SPX,0,RJL,5893.2,39.15,5890.0,5880.0,5915.0,5945.0,10.0,30.0,21.8,1075.0,5911.69,19.18,1075.0,1075.0,WIN,expiration,2025-05-30,0,,1925.0,107.5,268.75,537.5,806.25
2025-06-02,2025-06-02,SPX,0,RJL,5895.88,34,5895.0,5885.0,5915.0,5945.0,10.0,30.0,19.12,1025.0,5935.94,18.58,-1215.0,-1215.0,LOSS,expiration,2025-06-02,0,,1975.0,102.5,256.25,512.5,-1215.0
2025-06-03,2025-06-03,SPX,0,RJL,5940.48,27.75,5940.0,5930.0,5955.0,5985.0,10.0,30.0,14.52,1012.0,5970.37,18.37,-540.0,-540.0,LOSS,expiration,2025-06-03,0,,1988.0,101.2,-540.0,-540.0,-540.0
2025-06-04,2025-06-04,SPX,0,RJL,5981.34,27.3,5980.0,5970.0,5990.0,6020.0,10.0,30.0,8.66,1142.0,5970.81,17.69,258.0,258.0,WIN,expiration,2025-06-04,0,,1858.0,114.2,285.5,571.0,258.0
2025-06-05,2025-06-05,SPX,0,RJL,5987.67,34.9,5985.0,5975.0,6010.0,6040.0,10.0,30.0,22.33,1010.0,5939.3,17.6,10.0,10.0,WIN,expiration,2025-06-05,0,,1990.0,101.0,252.5,505.0,10.0
2025-06-06,2025-06-06,SPX,0,RJL,5994.44,29.35,5990.0,5980.0,6005.0,6035.0,10.0,30.0,10.56,1130.0,6000.36,18.51,1130.0,1130.0,WIN,expiration,2025-06-06,0,,1870.0,113.0,282.5,565.0,847.5
2025-06-09,2025-06-09,SPX,0,RJL,6007.07,29.15,6005.0,5995.0,6020.0,6050.0,10.0,30.0,12.93,1075.0,6005.88,16.77,995.0,995.0,WIN,expiration,2025-06-09,0,,1925.0,107.5,268.75,537.5,806.25
2025-06-10,2025-06-10,SPX,0,RJL,6015.84,26.55,6015.0,6005.0,6025.0,6055.0,10.0,30.0,9.16,1120.0,6038.81,17.17,-363.0,-363.0,LOSS,expiration,2025-06-10,0,,1880.0,112.0,280.0,560.0,-363.0
2025-06-11,2025-06-11,SPX,0,RJL,6048.9,27.8,6045.0,6035.0,6060.0,6090.0,10.0,30.0,11.1,1018.0,6022.24,16.95,18.0,18.0,WIN,expiration,2025-06-11,0,,1982.0,101.8,254.5,509.0,18.0
2025-06-12,2025-06-12,SPX,0,RJL,6011.37,29.6,6010.0,6000.0,6025.0,6055.0,10.0,30.0,13.63,1085.0,6045.26,17.26,-935.0,-935.0,LOSS,expiration,2025-06-12,0,,1915.0,-935.0,-935.0,-935.0,-935.0
2025-06-13,2025-06-13,SPX,0,RJL,5999.92,36.55,5995.0,5985.0,6020.0,6050.0,10.0,30.0,20.08,1047.0,5976.97,18.02,47.0,47.0,WIN,expiration,2025-06-13,0,,1953.0,104.7,261.75,523.5,47.0
2025-06-16,2025-06-16,SPX,0,RJL,6015.32,27.1,6015.0,6005.0,6025.0,6055.0,10.0,30.0,9.68,1125.0,6033.11,20.84,287.0,287.0,WIN,expiration,2025-06-16,0,,1875.0,112.5,281.25,562.5,287.0
