trade_date,exp_date,underlying,dte_entry,structure,spot_entry,spot_exit,put_upper,put_center,put_lower,total_credit,entry_cons,entry_spread,vix_entry,iv_atm_pct,em_pct,expected_move,pnl_usd,max_risk_usd,result,exit_method,mfe,mae,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,pnl_tp25,pnl_tp50,pnl_tp75,pnl_tp100,pnl_tp25_exit14,pnl_tp25_exit10,pnl_tp25_exit7,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit14,pnl_tp50_exit10,pnl_tp50_exit7,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit14,pnl_tp75_exit10,pnl_tp75_exit7,pnl_tp75_exit5,pnl_tp75_exit3,pnl_tp100_exit14,pnl_tp100_exit10,pnl_tp100_exit7,pnl_tp100_exit5,pnl_tp100_exit3
2022-04-08,2022-04-29,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4476.48,4132.17,4365,4255,3850,205.0,290.0,85.0,22.27,22.27,5.34,239.1,-1488.0,29790.0,LOSS,expiration,6495,-1430,615.0,695.0,1110.0,145.0,1545.0,2705.0,6495.0,-1488.0,-1488.0,615.0,695.0,1110.0,145.0,1545.0,615.0,695.0,1110.0,145.0,1545.0,615.0,695.0,1110.0,145.0,1545.0,615.0,695.0,1110.0,145.0,1545.0
2022-04-22,2022-05-13,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4355.15,4023.56,4230,4115,3700,305.0,400.0,95.0,23.9,23.9,5.73,249.7,2051.0,30400.0,WIN,expiration,2450,-13625,60.0,-275.0,-1620.0,-1180.0,-845.0,2051.0,2051.0,2051.0,2051.0,60.0,-275.0,-1620.0,-1180.0,-845.0,60.0,-275.0,-1620.0,-1180.0,-845.0,60.0,-275.0,-1620.0,-1180.0,-845.0,60.0,-275.0,-1620.0,-1180.0,-845.0
2022-04-29,2022-05-20,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4267.85,3901.55,4125,3990,3450,435.0,840.0,405.0,28.98,28.98,6.95,296.7,4220.0,41340.0,WIN,expiration,6485,-4085,-790.0,30.0,-1090.0,2210.0,3440.0,3200.0,6485.0,4220.0,4220.0,-790.0,30.0,-1090.0,2210.0,3200.0,-790.0,30.0,-1090.0,2210.0,3440.0,-790.0,30.0,-1090.0,2210.0,3440.0,-790.0,30.0,-1090.0,2210.0,3440.0
2022-05-06,2022-05-27,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4146.87,4158.34,3955,3790,3200,945.0,1080.0,135.0,35.09,35.09,8.42,349.0,-945.0,43580.0,LOSS,expiration,4420,-942.5,665.0,745.0,2820.0,3040.0,3730.0,3860.0,-945.0,-945.0,-945.0,665.0,745.0,3860.0,3860.0,3860.0,665.0,745.0,2820.0,3040.0,3730.0,665.0,745.0,2820.0,3040.0,3730.0,665.0,745.0,2820.0,3040.0,3730.0
2022-05-13,2022-06-03,SPX,21,BWB 1-2-2 puts (+1/-2/+2),3993.95,4108.23,3855,3730,3350,460.0,900.0,440.0,29.71,29.71,7.13,284.6,-460.0,26400.0,LOSS,expiration,910,-450,415.0,805.0,-105.0,-405.0,-405.0,-460.0,-460.0,-460.0,-460.0,415.0,805.0,-105.0,-405.0,-405.0,415.0,805.0,-105.0,-405.0,-405.0,415.0,805.0,-105.0,-405.0,-405.0,415.0,805.0,-105.0,-405.0,-405.0
2022-05-20,2022-06-10,SPX,21,BWB 1-2-2 puts (+1/-2/+2),3933.8,3900.16,3805,3690,3300,305.0,410.0,105.0,28.22,28.22,6.77,266.3,-305.0,27910.0,LOSS,expiration,210,-345,50.0,-115.0,-265.0,-277.5,-285.0,-305.0,-305.0,-305.0,-305.0,50.0,-115.0,-265.0,-277.5,-285.0,50.0,-115.0,-265.0,-277.5,-285.0,50.0,-115.0,-265.0,-277.5,-285.0,50.0,-115.0,-265.0,-277.5,-285.0
2022-05-27,2022-06-17,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4115.44,3673.63,3990,3880,3520,325.0,520.0,195.0,26.13,26.13,6.27,257.9,-9962.0,25520.0,LOSS,expiration,1000,-11810,125.0,460.0,1000.0,-1980.0,-2530.0,-9962.0,-9962.0,-9962.0,-9962.0,125.0,460.0,1000.0,-1980.0,-2530.0,125.0,460.0,1000.0,-1980.0,-2530.0,125.0,460.0,1000.0,-1980.0,-2530.0,125.0,460.0,1000.0,-1980.0,-2530.0
2022-06-03,2022-06-24,SPX,21,BWB 1-2-2 puts (+1/-2/+2),4134.22,3912.21,4010,3900,3570,345.0,470.0,125.0,25.29,25.29,6.07,250.8,9434.0,22470.0,WIN,expiration,9335,-8175,145.0,-2635.0,-6120.0,-3110.0,-3110.0,5610.0,5610.0,8335.0,9434.0,145.0,-2635.0,-6120.0,-3110.0,-3110.0,145.0,-2635.0,-6120.0,-3110.0,-3110.0,145.0,-2635.0,-6120.0,-3110.0,-3110.0,145.0,-2635.0,-6120.0,-3110.0,-3110.0
2022-06-10,2022-07-01,SPX,21,BWB 1-2-2 puts (+1/-2/+2),3935.06,3825.03,3810,3690,3350,805.0,1240.0,435.0,27.92,27.92,6.7,263.5,-805.0,23240.0,LOSS,expiration,4325,-797.5,410.0,975.0,1630.0,375.0,-265.0,4325.0,-805.0,-805.0,-805.0,410.0,975.0,1630.0,375.0,-265.0,410.0,975.0,1630.0,375.0,-265.0,410.0,975.0,1630.0,375.0,-265.0,410.0,975.0,1630.0,375.0,-265.0
2022-06-17,2022-07-08,SPX,21,BWB 1-2-2 puts (+1/-2/+2),3698.69,3899.18,3570,3450,3000,405.0,520.0,115.0,31.44,31.44,7.54,278.9,-405.0,33520.0,LOSS,expiration,915,-400,75.0,-357.5,-165.0,-205.0,-205.0,-405.0,-405.0,-405.0,-405.0,75.0,-357.5,-165.0,-205.0,-205.0,75.0,-357.5,-165.0,-205.0,-205.0,75.0,-357.5,-165.0,-205.0,-205.0,75.0,-357.5,-165.0,-205.0,-205.0
