trade_date,exp_date,underlying,dte_entry,structure,spot_entry,spot_exit,put_upper,put_center,put_lower,total_credit,vix_entry,pnl_usd,result,exit_method,mfe,mae,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,iv_atm_pct,em_pct,expected_move
2022-06-24,2022-07-22,SPX,28,BWB 1-2-2 puts (+1/-2/+2),3852.1,3962.24,3715,3585,3150,1380.0,28.4,-1380.0,LOSS,expiration,900,-5660,-1055.0,265.0,575.0,1060.0,-240.0,-265.0,28.4,7.87,303.0
2022-07-01,2022-07-29,SPX,28,BWB 1-2-2 puts (+1/-2/+2),3800.64,4130.48,3660,3535,3130,1470.0,27.94,-1470.0,LOSS,expiration,0,-1860,145.0,650.0,90.0,-330.0,-367.5,-370.0,27.94,7.74,294.1
2022-07-08,2022-08-05,SPX,28,BWB 1-2-2 puts (+1/-2/+2),3874.9,4144.66,3740,3620,3250,350.0,25.76,-350.0,LOSS,expiration,330,-1140,270.0,70.0,265.0,-222.5,-240.0,-237.5,25.76,7.13,276.5
2022-07-15,2022-08-12,SPX,28,BWB 1-2-2 puts (+1/-2/+2),3826.81,4279.35,3695,3580,3200,1500.0,25.31,-1500.0,LOSS,expiration,0,-1525,-50.0,-235.0,-267.5,-320.0,-320.0,-315.0,25.31,7.01,268.3
2022-07-22,2022-08-19,SPX,28,BWB 1-2-2 puts (+1/-2/+2),3991.17,4228.37,3870,3755,3360,230.0,23.25,-230.0,LOSS,expiration,120,-1470,185.0,70.0,60.0,-135.0,-150.0,-155.0,23.25,6.44,257.0
2022-07-29,2022-08-26,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4102.69,4058.29,3990,3880,3510,560.0,21.72,-560.0,LOSS,expiration,0,-810,95.0,145.0,-137.5,-182.5,-45.0,15.0,21.72,6.02,246.8
2022-08-05,2022-09-02,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4131.1,3925.29,4015,3900,3525,310.0,21.7,8661.0,WIN,expiration,8170,-200,165.0,-50.0,480.0,75.0,1595.0,2070.0,21.7,6.01,248.3
2022-08-12,2022-09-09,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4234.43,4067.62,4130,4025,3640,710.0,19.84,5528.0,WIN,expiration,6250,-3890,170.0,475.0,245.0,230.0,-1485.0,-1485.0,19.84,5.5,232.7
2022-08-19,2022-09-16,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4237.6,3872.56,4125,4020,3625,370.0,20.72,-4614.0,LOSS,expiration,2440,-9350,160.0,-1800.0,-3095.0,1480.0,1895.0,2590.0,20.72,5.74,243.2
2022-08-26,2022-09-23,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4197.3,3695.23,4080,3965,3550,870.0,22.06,-16347.0,LOSS,expiration,420,-21940,-1015.0,530.0,1005.0,-535.0,-1900.0,-2435.0,22.06,6.11,256.5
2022-09-02,2022-09-30,SPX,28,BWB 1-2-2 puts (+1/-2/+2),3983.57,3589.7,3860,3740,3345,410.0,24.16,-3440.0,LOSS,expiration,3590,-7090,235.0,685.0,880.0,1725.0,820.0,1650.0,24.16,6.69,266.6
2022-09-09,2022-10-07,SPX,28,BWB 1-2-2 puts (+1/-2/+2),4045.35,3640.38,3925,3810,3450,650.0,22.91,-6112.0,LOSS,expiration,4230,-12930,-145.0,-1355.0,-2575.0,-4650.0,-7065.0,2395.0,22.91,6.35,256.7
2022-09-16,2022-10-14,SPX,28,BWB 1-2-2 puts (+1/-2/+2),3840.48,3585.73,3700,3570,3150,900.0,28.34,10527.0,WIN,expiration,10010,-3340,440.0,25.0,765.0,1345.0,2650.0,2870.0,28.34,7.85,301.5
2022-09-23,2022-10-21,SPX,28,BWB 1-2-2 puts (+1/-2/+2),3691.77,3752.75,3555,3430,3000,610.0,29.13,-610.0,LOSS,expiration,1400,-4290,55.0,155.0,930.0,570.0,415.0,-320.0,29.13,8.07,297.9
