date,trade_date,spot,pnl_usd,cumulative_pnl
2024-04-15,2024-04-15,2013.22,260.0,20527.3
2024-05-13,2024-05-13,2079.54,586.6,21113.9
2024-06-10,2024-06-10,2012.08,90.0,21203.9
2024-06-17,2024-06-17,2001.1,265.0,21468.9
2024-07-08,2024-07-08,2047.37,10.0,21478.9
2024-07-15,2024-07-15,2171.3,260.0,21738.9
2024-07-22,2024-07-22,2181.83,370.0,22108.9
2024-08-12,2024-08-12,2066.86,155.0,22263.9
2024-08-19,2024-08-19,2147.62,315.0,22578.9
2024-09-16,2024-09-16,2188.56,315.0,22893.9
2024-10-07,2024-10-07,2197.32,220.0,23113.9
2024-10-14,2024-10-14,2232.32,145.0,23258.9
2024-11-04,2024-11-04,2212.23,200.0,23458.9
2024-11-11,2024-11-11,2426.04,1550.2,25009.1
2024-11-18,2024-11-18,2302.29,1600.0,26609.1
2024-12-02,2024-12-02,2422.84,1605.0,28214.1
2024-12-09,2024-12-09,2426.23,1590.0,29804.1
2024-12-16,2024-12-16,2355.78,1620.0,31424.1
2025-01-06,2025-01-06,2287.75,1495.0,32919.1
2025-01-13,2025-01-13,2171.66,170.0,33089.1
2025-02-03,2025-02-03,2235.96,1305.0,34394.1
2025-02-10,2025-02-10,2282.59,-5410.0,28984.1
2025-02-24,2025-02-24,2179.76,-3970.0,25014.1
2025-03-03,2025-03-03,2154.17,-4840.0,20174.1
2025-03-10,2025-03-10,2050.48,1720.0,21894.1
2025-03-17,2025-03-17,2053.48,1320.0,23214.1
2025-03-31,2025-03-31,1986.8,170.0,23384.1
2025-04-28,2025-04-28,1964.9,-65.0,23319.1
2025-05-05,2025-05-05,2004.16,460.0,23779.1
2025-05-12,2025-05-12,2098.01,115.0,23894.1
2025-05-19,2025-05-19,2086.59,270.0,24164.1
2025-06-02,2025-06-02,2047.75,530.0,24694.1
2025-06-09,2025-06-09,2140.14,130.0,24824.1
2025-06-16,2025-06-16,2123.7,325.0,25149.1
2025-06-23,2025-06-23,2109.9,150.0,25299.1
2025-06-30,2025-06-30,2179.5,290.0,25589.1
2025-07-07,2025-07-07,2237.33,125.0,25714.1
2025-07-14,2025-07-14,2235.41,365.0,26079.1
2025-08-04,2025-08-04,2183.88,295.0,26374.1
2025-08-11,2025-08-11,2226.47,165.0,26539.1
2025-08-18,2025-08-18,2288.26,310.0,26849.1
2025-09-08,2025-09-08,2384.03,150.0,26999.1
2025-09-15,2025-09-15,2408.42,130.0,27129.1
2025-10-06,2025-10-06,2486.62,1355.0,28484.1
2025-10-13,2025-10-13,2445.93,30.0,28514.1
2025-11-03,2025-11-03,2466.45,375.0,28889.1
2025-11-10,2025-11-10,2456.29,165.0,29054.1
2025-11-17,2025-11-17,2388.52,400.0,29454.1
2025-12-01,2025-12-01,2486.53,450.0,29904.1
2025-12-08,2025-12-08,2532.9,135.0,30039.1
2025-12-15,2025-12-15,2546.94,175.0,30214.1
2025-12-29,2025-12-29,2524.93,180.0,30394.1
2026-01-05,2026-01-05,2526.79,345.0,30739.1
2026-01-12,2026-01-12,2618.45,115.0,30854.1
2026-02-02,2026-02-02,2617.17,1700.0,32554.1
2026-02-09,2026-02-09,2662.38,1720.0,34274.1
2026-02-23,2026-02-23,2641.87,275.0,34549.1
2026-03-02,2026-03-02,2612.07,240.0,34789.1
2026-03-09,2026-03-09,2475.11,240.0,35029.1
2026-03-16,2026-03-16,2522.8,435.0,35464.1
2026-03-23,2026-03-23,2509.94,250.0,35714.1
2026-03-30,2026-03-30,2435.49,310.0,36024.1
2026-04-06,2026-04-06,2533.8,255.0,36279.1
2026-04-13,2026-04-13,2638.44,250.0,36529.1
