trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit3
2023-07-24,2023-07-28,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4545.41,4581.73,4545.0,4535.0,4555.0,60.0,14.03,14.26,67.9,60.0,15.0,40.0,50.0,WIN,expiration,55.0,-1520.0,15.0
2023-07-31,2023-08-04,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4582.36,4478.55,4580.0,4570.0,4590.0,80.0,14.03,12.07,57.9,80.0,35.0,65.0,65.0,WIN,expiration,80.0,-930.0,35.0
2023-08-07,2023-08-11,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4496.13,4464.31,4495.0,4485.0,4505.0,60.0,16.84,15.16,71.4,60.0,35.0,35.0,60.0,WIN,expiration,60.0,-210.0,-5.0
2023-08-14,2023-08-18,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4461.51,4370.6,4460.0,4450.0,4470.0,45.0,15.83,15.78,73.7,45.0,20.0,27.5,37.5,WIN,expiration,37.5,-180.0,-10.0
2023-08-21,2023-08-25,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4394.08,4405.32,4395.0,4385.0,4405.0,40.0,17.35,17.35,79.8,40.0,25.0,25.0,112.5,WIN,expiration,112.5,-1055.0,25.0
2023-08-28,2023-09-01,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4431.88,4514.95,4430.0,4420.0,4440.0,55.0,15.63,15.09,70.0,55.0,15.0,60.0,60.0,WIN,expiration,60.0,-1590.0,-15.0
2023-09-11,2023-09-15,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4472.63,4450.35,4475.0,4465.0,4485.0,70.0,14.29,12.78,59.8,70.0,20.0,70.0,70.0,WIN,expiration,70.0,-1110.0,0.0
2023-09-18,2023-09-22,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4446.89,4319.25,4445.0,4435.0,4455.0,50.0,14.58,13.6,63.3,50.0,330.0,330.0,330.0,WIN,expiration,330.0,-530.0,-15.0
2023-09-25,2023-09-29,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4322.56,4289.13,4325.0,4315.0,4335.0,45.0,17.56,18.0,81.4,45.0,30.0,30.0,42.5,WIN,expiration,42.5,-310.0,-10.0
2023-10-02,2023-10-06,SPX,4,0.15,Inverse Butterfly 1-2-1 (calls),4283.17,4307.89,4285.0,4275.0,4295.0,65.0,17.95,18.35,82.3,65.0,20.0,250.0,250.0,WIN,expiration,250.0,-1260.0,15.0
