trade_date,calendar_date,dte_remaining,pnl_usd
2024-11-13,2024-11-13,0,95.0
2024-11-14,2024-11-14,0,0.0
2024-11-14,2024-11-14,0,100.0
2024-11-15,2024-11-15,0,0.0
2024-11-15,2024-11-15,0,95.0
2024-11-18,2024-11-18,0,0.0
2024-11-18,2024-11-18,0,80.0
2024-11-19,2024-11-19,0,0.0
2024-11-19,2024-11-19,0,90.0
2024-11-20,2024-11-20,0,0.0
2024-11-20,2024-11-20,0,130.0
2024-11-21,2024-11-21,0,0.0
2024-11-21,2024-11-21,0,105.0
2024-11-22,2024-11-22,0,0.0
2024-11-22,2024-11-22,0,100.0
2024-11-25,2024-11-25,0,0.0
2024-11-25,2024-11-25,0,80.0
2024-11-26,2024-11-26,0,0.0
2024-11-26,2024-11-26,0,-77.99
2024-11-27,2024-11-27,0,0.0
2024-11-27,2024-11-27,0,100.0
2024-11-29,2024-11-29,0,0.0
2024-11-29,2024-11-29,0,45.0
2024-12-02,2024-12-02,0,0.0
2024-12-02,2024-12-02,0,75.0
2024-12-03,2024-12-03,0,0.0
2024-12-03,2024-12-03,0,95.0
2024-12-04,2024-12-04,0,0.0
2024-12-04,2024-12-04,0,-34.02
2024-12-05,2024-12-05,0,0.0
2024-12-05,2024-12-05,0,90.0
2024-12-06,2024-12-06,0,0.0
2024-12-06,2024-12-06,0,70.0
2024-12-09,2024-12-09,0,0.0
2024-12-09,2024-12-09,0,95.0
2024-12-10,2024-12-10,0,0.0
2024-12-10,2024-12-10,0,-420.0
2024-12-11,2024-12-11,0,0.0
2024-12-11,2024-12-11,0,60.0
2024-12-12,2024-12-12,0,0.0
2024-12-12,2024-12-12,0,-400.0
2024-12-13,2024-12-13,0,0.0
2024-12-13,2024-12-13,0,95.0
2024-12-16,2024-12-16,0,0.0
2024-12-16,2024-12-16,0,130.0
2024-12-17,2024-12-17,0,0.0
2024-12-17,2024-12-17,0,115.0
2024-12-18,2024-12-18,0,0.0
2024-12-18,2024-12-18,0,-360.0
2024-12-19,2024-12-19,0,0.0
2024-12-19,2024-12-19,0,90.0
2024-12-20,2024-12-20,0,0.0
2024-12-20,2024-12-20,0,-405.0
2024-12-23,2024-12-23,0,0.0
2024-12-23,2024-12-23,0,-296.98
2024-12-24,2024-12-24,0,0.0
2024-12-24,2024-12-24,0,-440.0
2024-12-26,2024-12-26,0,0.0
2024-12-26,2024-12-26,0,80.0
2024-12-27,2024-12-27,0,0.0
2024-12-27,2024-12-27,0,26.02
2024-12-30,2024-12-30,0,0.0
2024-12-30,2024-12-30,0,115.0
2024-12-31,2024-12-31,0,0.0
2024-12-31,2024-12-31,0,120.0
2025-01-02,2025-01-02,0,0.0
2025-01-02,2025-01-02,0,110.0
2025-01-03,2025-01-03,0,0.0
2025-01-03,2025-01-03,0,95.0
2025-01-06,2025-01-06,0,0.0
2025-01-06,2025-01-06,0,-390.0
2025-01-07,2025-01-07,0,0.0
2025-01-07,2025-01-07,0,105.0
2025-01-08,2025-01-08,0,0.0
2025-01-08,2025-01-08,0,-220.0
2025-01-10,2025-01-10,0,0.0
2025-01-10,2025-01-10,0,120.0
2025-01-13,2025-01-13,0,0.0
2025-01-13,2025-01-13,0,-375.0
2025-01-14,2025-01-14,0,0.0
2025-01-14,2025-01-14,0,120.0
2025-01-15,2025-01-15,0,0.0
2025-01-15,2025-01-15,0,95.0
2025-01-16,2025-01-16,0,0.0
2025-01-16,2025-01-16,0,110.0
2025-01-17,2025-01-17,0,0.0
2025-01-17,2025-01-17,0,100.0
2025-01-21,2025-01-21,0,0.0
2025-01-21,2025-01-21,0,80.0
2025-01-22,2025-01-22,0,0.0
2025-01-22,2025-01-22,0,85.0
2025-01-23,2025-01-23,0,0.0
2025-01-23,2025-01-23,0,-400.0
2025-01-24,2025-01-24,0,0.0
2025-01-24,2025-01-24,0,90.0
2025-01-27,2025-01-27,0,0.0
2025-01-27,2025-01-27,0,95.0
2025-01-28,2025-01-28,0,0.0
2025-01-28,2025-01-28,0,115.0
2025-01-29,2025-01-29,0,0.0
2025-01-29,2025-01-29,0,105.0
2025-01-30,2025-01-30,0,0.0
2025-01-30,2025-01-30,0,-16.99
2025-01-31,2025-01-31,0,0.0
2025-01-31,2025-01-31,0,-400.0
2025-02-03,2025-02-03,0,0.0
2025-02-03,2025-02-03,0,110.0
2025-02-04,2025-02-04,0,0.0
2025-02-04,2025-02-04,0,105.0
