trade_id,Opened,Closed,exit_reason,pnl,premium
36,2022-01-28,2022-02-17,expiration,1913.38,2430
37,2022-02-04,2022-02-24,expiration,1015.3800000000001,2965
38,2022-02-11,2022-03-03,expiration,1547.38,3105
39,2022-02-18,2022-03-10,expiration,231.3800000000001,3835
40,2022-02-25,2022-03-17,expiration,842.3800000000001,3085
41,2022-03-04,2022-03-24,expiration,-332.6199999999999,3535
42,2022-03-11,2022-03-31,expiration,-1985.62,3330
43,2022-03-18,2022-03-29,stop_loss,-2450.0,2450
44,2022-03-25,2022-04-14,stop_loss,-2905.0,2905
45,2022-04-01,2022-04-21,expiration,-171.62,3150
46,2022-04-08,2022-04-28,expiration,871.3800000000001,3540
47,2022-04-22,2022-05-12,expiration,916.3800000000001,2670
48,2022-05-06,2022-05-26,expiration,381.38,2805
49,2022-05-13,2022-06-02,expiration,-20.620000000000005,3425
50,2022-05-20,2022-06-09,expiration,1026.38,3675
51,2022-05-27,2022-06-13,stop_loss,-3250.0,3250
52,2022-06-03,2022-06-16,stop_loss,-3360.0,3360
53,2022-06-10,2022-06-14,stop_loss,-3005.0,3005
54,2022-06-17,2022-07-07,expiration,554.3800000000001,3585
55,2022-06-24,2022-07-14,expiration,-715.62,3125
56,2022-07-01,2022-07-21,expiration,294.3800000000001,3825
57,2022-07-08,2022-07-28,expiration,379.3800000000001,2845
58,2022-07-15,2022-08-04,expiration,-1540.62,2950
59,2022-07-22,2022-08-11,expiration,-770.6199999999999,2790
60,2022-07-29,2022-08-18,expiration,284.3800000000001,3405
61,2022-08-05,2022-08-25,expiration,307.38,2820
62,2022-08-12,2022-09-01,stop_loss,-2200.0,2200
63,2022-08-19,2022-09-02,stop_loss,-3370.0,3370
64,2022-08-26,2022-09-15,expiration,-113.62,3600
65,2022-09-02,2022-09-22,expiration,173.38,2840
66,2022-09-09,2022-09-29,expiration,-2179.62,2715
67,2022-09-16,2022-10-06,expiration,596.3800000000001,3215
68,2022-09-23,2022-10-13,expiration,1909.38,2980
69,2022-10-07,2022-10-27,expiration,1524.38,3720
70,2022-10-14,2022-11-03,expiration,79.38,4080
71,2022-10-21,2022-11-10,expiration,419.3800000000001,2680
72,2022-10-28,2022-11-17,expiration,596.3799999999999,1885
73,2022-11-04,2022-11-25,expiration,-693.6199999999999,2975
74,2022-11-11,2022-12-01,expiration,-885.62,3055
75,2022-11-18,2022-12-08,expiration,894.3800000000001,5325
76,2022-11-25,2022-12-15,expiration,-313.61999999999995,2420
77,2022-12-02,2022-12-22,expiration,-865.62,1860
78,2022-12-09,2022-12-29,expiration,-954.62,2815
79,2022-12-16,2023-01-05,expiration,-260.62,4165
80,2022-12-23,2023-01-12,expiration,391.38,1950
81,2022-12-30,2023-01-19,expiration,-361.62,2485
82,2023-01-06,2023-01-26,expiration,789.3800000000001,3760
83,2023-01-13,2023-02-02,expiration,846.3800000000001,1860
84,2023-01-20,2023-02-09,expiration,2539.38,2760
85,2023-01-27,2023-02-16,expiration,1096.38,1705
86,2023-02-03,2023-02-23,expiration,-416.61999999999995,2090
87,2023-02-10,2023-03-02,expiration,-999.6199999999999,2905
88,2023-02-17,2023-03-09,expiration,411.3800000000001,3020
89,2023-02-24,2023-03-16,expiration,1268.38,3490
90,2023-03-03,2023-03-23,expiration,1095.38,1810
91,2023-03-10,2023-03-30,expiration,704.38,1885
92,2023-03-17,2023-04-06,expiration,584.3800000000001,3605
93,2023-03-24,2023-04-13,expiration,17.38000000000011,2745
94,2023-03-31,2023-04-20,expiration,1.3799999999999955,2580
95,2023-04-14,2023-05-04,expiration,190.38,2445
96,2023-04-21,2023-05-11,expiration,208.37999999999994,1955
97,2023-04-28,2023-05-18,expiration,311.38,2135
98,2023-05-05,2023-05-25,expiration,876.38,2330
99,2023-05-12,2023-06-01,expiration,-35.620000000000005,2555
100,2023-05-19,2023-06-08,expiration,-91.61999999999989,2860
101,2023-05-26,2023-06-15,expiration,-445.62000000000006,1670
102,2023-06-02,2023-06-22,expiration,62.379999999999995,2075
103,2023-06-09,2023-06-29,expiration,271.38000000000005,1645
104,2023-06-16,2023-07-06,expiration,-93.62,2380
105,2023-06-23,2023-07-13,expiration,-158.62,2065
106,2023-06-30,2023-07-20,expiration,648.3800000000001,2440
107,2023-07-07,2023-07-27,expiration,824.3800000000001,2090
108,2023-07-14,2023-08-03,expiration,714.3799999999999,1925
109,2023-07-21,2023-08-10,expiration,393.37999999999994,1865
110,2023-07-28,2023-08-17,expiration,-1556.62,2445
111,2023-08-04,2023-08-24,stop_loss,-2390.0,2390
112,2023-08-11,2023-08-24,stop_loss,-1830.0,1830
113,2023-08-18,2023-09-07,expiration,-450.62000000000006,2610
114,2023-08-25,2023-09-14,expiration,-645.6199999999999,2765
