trade_id,Opened,Closed,exit_reason,pnl,premium
59,2022-07-08,2022-07-21,expiration,259.38,4775
60,2022-07-15,2022-07-19,take_profit,780.0,3120
61,2022-07-22,2022-08-04,expiration,-347.6199999999999,3580
62,2022-07-29,2022-08-11,expiration,-10.620000000000005,3165
63,2022-08-05,2022-08-18,expiration,-340.6199999999999,3715
64,2022-08-12,2022-08-25,expiration,-108.62,3400
65,2022-08-19,2022-09-01,expiration,-1718.62,2785
66,2022-08-26,2022-09-08,expiration,-593.6199999999999,4225
67,2022-09-02,2022-09-15,expiration,1194.38,4120
68,2022-09-09,2022-09-22,expiration,-1446.62,3220
69,2022-09-16,2022-09-29,expiration,559.3800000000001,3435
70,2022-09-23,2022-09-28,take_profit,1057.5,4230
71,2022-09-30,2022-10-06,take_profit,940.0,3760
72,2022-10-07,2022-10-13,take_profit,946.25,3785
73,2022-10-14,2022-10-27,expiration,-120.61999999999989,5025
74,2022-10-21,2022-11-03,expiration,-442.62,5150
75,2022-10-28,2022-11-10,expiration,1051.38,3105
76,2022-11-04,2022-11-08,take_profit,617.5,2470
77,2022-11-11,2022-11-25,expiration,-623.62,3940
78,2022-11-18,2022-12-01,expiration,-765.6199999999999,3510
79,2022-11-25,2022-12-08,expiration,969.3800000000001,6005
80,2022-12-02,2022-12-13,take_profit,447.5,1790
81,2022-12-09,2022-12-13,take_profit,556.25,2225
82,2022-12-16,2022-12-19,take_profit,898.75,3595
83,2022-12-23,2023-01-05,expiration,-180.62,5575
84,2022-12-30,2023-01-12,expiration,304.3800000000001,2525
85,2023-01-06,2023-01-12,take_profit,712.5,2850
86,2023-01-13,2023-01-26,expiration,1106.38,4990
87,2023-01-20,2023-01-20,take_profit,531.25,2125
88,2023-01-27,2023-02-03,take_profit,785.0,3140
89,2023-02-03,2023-02-03,take_profit,512.5,2050
90,2023-02-10,2023-02-17,take_profit,646.25,2585
91,2023-02-17,2023-03-02,expiration,-815.62,3850
92,2023-02-24,2023-03-09,expiration,944.3800000000001,3870
93,2023-03-03,2023-03-14,take_profit,967.5,3870
94,2023-03-10,2023-03-15,take_profit,676.25,2705
95,2023-03-17,2023-03-23,take_profit,580.0,2320
96,2023-03-24,2023-04-06,expiration,186.3800000000001,4330
97,2023-03-31,2023-04-13,expiration,-58.620000000000005,2785
98,2023-04-14,2023-04-27,expiration,-172.62,4180
99,2023-04-21,2023-05-04,take_profit,597.5,2390
100,2023-04-28,2023-05-03,take_profit,546.25,2185
101,2023-05-05,2023-05-18,expiration,82.38,2755
102,2023-05-12,2023-05-22,take_profit,701.25,2805
103,2023-05-19,2023-05-23,take_profit,635.0,2540
104,2023-05-26,2023-06-08,expiration,-173.6199999999999,3120
105,2023-06-02,2023-06-12,take_profit,471.25,1885
106,2023-06-09,2023-06-12,take_profit,525.0,2100
107,2023-06-16,2023-06-29,expiration,-565.62,2155
108,2023-06-23,2023-07-06,take_profit,646.25,2585
109,2023-06-30,2023-07-06,take_profit,565.0,2260
