Opened,pp_Closed,pp_Premium,pp_PnL,pp_Fees,cc_Closed,cc_Premium,cc_PnL,cc_Fees,combined_premium,combined_pnl_final,combined_fees,Closed,trade_id
2022-03-11,2022-03-24,3400,-3118.08,5.08,2022-03-24,1090,717.46,2.54,4490,-2400.62,7.62,2022-03-24,43
2022-03-18,2022-03-31,2660,-995.08,5.08,2022-03-31,800,787.46,2.54,3460,-207.62,7.62,2022-03-31,44
2022-03-25,2022-04-07,2345,631.92,5.08,2022-04-07,740,-555.54,2.54,3085,76.38,7.62,2022-04-07,45
2022-04-01,2022-04-14,2855,651.92,5.08,2022-04-14,840,-830.54,2.54,3695,-178.62,7.62,2022-04-14,46
2022-04-08,2022-04-21,2805,729.92,5.08,2022-04-21,890,-837.54,2.54,3695,-107.62,7.62,2022-04-21,47
2022-04-22,2022-05-05,2455,2709.92,5.08,2022-05-05,745,-625.54,2.54,3200,2084.38,7.62,2022-05-05,48
2022-04-29,2022-05-12,2875,2064.92,5.08,2022-05-12,925,-883.54,2.54,3800,1181.38,7.62,2022-05-12,49
2022-05-06,2022-05-19,3100,1291.92,5.08,2022-05-19,995,-965.54,2.54,4095,326.3800000000001,7.62,2022-05-19,50
2022-05-13,2022-05-26,2660,861.92,5.08,2022-05-26,895,-265.54,2.54,3555,596.3799999999999,7.62,2022-05-26,51
2022-05-20,2022-06-02,3140,-2813.08,5.08,2022-06-02,1040,942.46,2.54,4180,-1870.62,7.62,2022-06-02,52
2022-05-27,2022-06-09,3615,1281.92,5.08,2022-06-09,1375,-1210.54,2.54,4990,71.38000000000011,7.62,2022-06-09,53
2022-06-03,2022-06-16,2590,-1946.08,5.08,2022-06-16,900,-885.54,2.54,3490,-2831.62,7.62,2022-06-16,54
2022-06-10,2022-06-23,3050,981.92,5.08,2022-06-23,1010,-935.54,2.54,4060,46.379999999999995,7.62,2022-06-23,55
2022-06-17,2022-06-30,2550,-316.08,5.08,2022-06-30,790,722.46,2.54,3340,406.38000000000005,7.62,2022-06-30,56
2022-06-24,2022-07-07,3360,871.92,5.08,2022-07-07,1205,-852.54,2.54,4565,19.379999999999995,7.62,2022-07-07,57
