Opened,pp_Closed,pp_Premium,pp_PnL,pp_Fees,cc_Closed,cc_Premium,cc_PnL,cc_Fees,combined_premium,combined_pnl_final,combined_fees,Closed,trade_id
2022-12-16,2022-12-22,2400,584.92,5.08,2022-12-22,1005,-755.54,2.54,3405,-170.62,7.62,2022-12-22,80
2022-12-23,2022-12-29,3145,536.92,5.08,2022-12-29,1370,102.46,2.54,4515,639.38,7.62,2022-12-29,81
2022-12-30,2023-01-05,4190,776.92,5.08,2023-01-05,1820,-395.54,2.54,6010,381.37999999999994,7.62,2023-01-05,82
2023-01-06,2023-01-12,1740,-223.08,5.08,2023-01-12,825,757.46,2.54,2565,534.38,7.62,2023-01-12,83
2023-01-13,2023-01-19,2325,134.92,5.08,2023-01-19,1055,-955.54,2.54,3380,-820.62,7.62,2023-01-19,84
2023-01-20,2023-01-26,4340,-1713.08,5.08,2023-01-26,1945,1582.46,2.54,6285,-130.6199999999999,7.62,2023-01-26,85
2023-01-27,2023-02-02,1715,-118.08,5.08,2023-02-02,725,932.46,2.54,2440,814.38,7.62,2023-02-02,86
2023-02-03,2023-02-09,3535,2454.92,5.08,2023-02-09,1345,-545.54,2.54,4880,1909.38,7.62,2023-02-09,87
2023-02-10,2023-02-16,1735,946.92,5.08,2023-02-16,725,-225.54,2.54,2460,721.38,7.62,2023-02-16,88
2023-02-17,2023-02-23,2880,89.92,5.08,2023-02-23,1075,-890.54,2.54,3955,-800.62,7.62,2023-02-23,89
2023-02-24,2023-03-02,3640,-273.08,5.08,2023-03-02,1505,182.46,2.54,5145,-90.61999999999998,7.62,2023-03-02,90
2023-03-03,2023-03-09,2900,669.92,5.08,2023-03-09,1150,-928.54,2.54,4050,-258.62,7.62,2023-03-09,91
2023-03-10,2023-03-16,3610,-1011.08,5.08,2023-03-16,1345,2072.46,2.54,4955,1061.38,7.62,2023-03-16,92
2023-03-17,2023-03-23,2710,964.92,5.08,2023-03-23,950,117.46,2.54,3660,1082.3799999999999,7.62,2023-03-23,93
2023-03-24,2023-03-30,2280,-1073.08,5.08,2023-03-30,1050,1062.46,2.54,3330,-10.61999999999989,7.62,2023-03-30,94
2023-03-31,2023-04-06,3855,506.92,5.08,2023-04-06,1630,-505.54,2.54,5485,1.3799999999999955,7.62,2023-04-06,95
2023-04-14,2023-04-20,2330,684.92,5.08,2023-04-20,1080,-615.54,2.54,3410,69.38,7.62,2023-04-20,96
2023-04-21,2023-04-27,3330,264.92,5.08,2023-04-27,1450,-100.54,2.54,4780,164.38,7.62,2023-04-27,97
2023-04-28,2023-05-04,1870,794.92,5.08,2023-05-04,720,-640.54,2.54,2590,154.38,7.62,2023-05-04,98
2023-05-05,2023-05-11,2320,311.92,5.08,2023-05-11,810,-495.54,2.54,3130,-183.62,7.62,2023-05-11,99
2023-05-12,2023-05-18,2185,-1071.08,5.08,2023-05-18,910,1092.46,2.54,3095,21.38000000000011,7.62,2023-05-18,100
2023-05-19,2023-05-25,2320,1064.92,5.08,2023-05-25,840,-455.54,2.54,3160,609.3800000000001,7.62,2023-05-25,101
2023-05-26,2023-06-01,2010,-338.08,5.08,2023-06-01,845,-357.54,2.54,2855,-695.62,7.62,2023-06-01,102
2023-06-02,2023-06-08,2460,104.92,5.08,2023-06-08,1125,-187.54,2.54,3585,-82.61999999999999,7.62,2023-06-08,103
2023-06-09,2023-06-15,1240,-883.08,5.08,2023-06-15,545,607.46,2.54,1785,-275.62,7.62,2023-06-15,104
2023-06-16,2023-06-22,1960,-275.08,5.08,2023-06-22,1035,-860.54,2.54,2995,-1135.62,7.62,2023-06-22,105
2023-06-30,2023-07-06,1750,394.92,5.08,2023-07-06,925,-668.54,2.54,2675,-273.61999999999995,7.62,2023-07-06,106
2023-07-07,2023-07-13,1765,-1278.08,5.08,2023-07-13,825,547.46,2.54,2590,-730.6199999999999,7.62,2023-07-13,107
2023-07-14,2023-07-20,2245,124.92,5.08,2023-07-20,1170,604.46,2.54,3415,729.38,7.62,2023-07-20,108
2023-07-21,2023-07-27,1665,614.92,5.08,2023-07-27,840,-270.54,2.54,2505,344.37999999999994,7.62,2023-07-27,109
2023-07-28,2023-08-03,1880,49.92,5.08,2023-08-03,915,-778.54,2.54,2795,-728.62,7.62,2023-08-03,110
2023-08-04,2023-08-10,2360,694.92,5.08,2023-08-10,895,-445.54,2.54,3255,249.37999999999994,7.62,2023-08-10,111
2023-08-11,2023-08-17,2335,364.92,5.08,2023-08-17,1115,-985.54,2.54,3450,-620.6199999999999,7.62,2023-08-17,112
2023-08-18,2023-08-24,2350,281.92,5.08,2023-08-24,950,-215.54,2.54,3300,66.38000000000002,7.62,2023-08-24,113
2023-08-25,2023-08-31,1805,-1389.08,5.08,2023-08-31,720,632.46,2.54,2525,-756.6199999999999,7.62,2023-08-31,114
2023-09-01,2023-09-07,2105,269.92,5.08,2023-09-07,975,-825.54,2.54,3080,-555.6199999999999,7.62,2023-09-07,115
2023-09-08,2023-09-14,2175,-963.08,5.08,2023-09-14,985,692.46,2.54,3160,-270.62,7.62,2023-09-14,116
2023-09-15,2023-09-21,1855,-425.08,5.08,2023-09-21,820,-767.54,2.54,2675,-1192.62,7.62,2023-09-21,117
2023-09-22,2023-09-28,2100,809.92,5.08,2023-09-28,975,-540.54,2.54,3075,269.38,7.62,2023-09-28,118
2023-09-29,2023-10-05,2445,859.92,5.08,2023-10-05,990,-510.54,2.54,3435,349.37999999999994,7.62,2023-10-05,119
2023-10-06,2023-10-12,2400,91.92,5.08,2023-10-12,1070,247.46,2.54,3470,339.38,7.62,2023-10-12,120
2023-10-13,2023-10-19,2425,1589.92,5.08,2023-10-19,1090,-665.54,2.54,3515,924.3800000000001,7.62,2023-10-19,121
2023-10-20,2023-10-26,3215,594.92,5.08,2023-10-26,1315,-1160.54,2.54,4530,-565.62,7.62,2023-10-26,122
2023-10-27,2023-11-02,2870,-2589.08,5.08,2023-11-02,1060,-2.54,2.54,3930,-2591.62,7.62,2023-11-02,123
2023-11-03,2023-11-09,2420,746.92,5.08,2023-11-09,1010,-500.54,2.54,3430,246.37999999999994,7.62,2023-11-09,124
2023-11-17,2023-11-24,1945,-1041.08,5.08,2023-11-24,945,619.46,2.54,2890,-421.6199999999999,7.62,2023-11-24,125
2023-11-24,2023-11-30,1740,444.92,5.08,2023-11-30,930,-10.54,2.54,2670,434.38,7.62,2023-11-30,126
2023-12-01,2023-12-07,2240,636.92,5.08,2023-12-07,1075,-142.54,2.54,3315,494.38,7.62,2023-12-07,127
2023-12-15,2023-12-21,1385,471.92,5.08,2023-12-21,800,757.46,2.54,2185,1229.38,7.62,2023-12-21,128
2023-12-22,2023-12-28,1925,-466.08,5.08,2023-12-28,950,337.46,2.54,2875,-128.62,7.62,2023-12-28,129
2023-12-29,2024-01-04,1995,-375.08,5.08,2024-01-04,1040,-920.54,2.54,3035,-1295.62,7.62,2024-01-04,130
2024-01-05,2024-01-11,1705,-1036.08,5.08,2024-01-11,730,892.46,2.54,2435,-143.6199999999999,7.62,2024-01-11,131
2024-01-12,2024-01-18,1775,509.92,5.08,2024-01-18,985,-130.54,2.54,2760,379.38,7.62,2024-01-18,132
2024-01-19,2024-01-25,2530,-441.08,5.08,2024-01-25,1220,1002.46,2.54,3750,561.3800000000001,7.62,2024-01-25,133
2024-01-26,2024-02-01,1405,621.92,5.08,2024-02-01,720,124.46,2.54,2125,746.38,7.62,2024-02-01,134
