trade_date,calendar_date,dte_remaining,pnl_usd
2022-06-24,2022-06-24,42,0.0
2022-06-24,2022-08-05,0,3550.0
2022-07-01,2022-07-01,42,0.0
2022-07-01,2022-08-12,0,3385.0
2022-07-08,2022-07-08,42,0.0
2022-07-08,2022-08-19,0,2835.0
2022-07-15,2022-07-15,47,0.0
2022-07-15,2022-08-31,0,-673.0
2022-08-05,2022-08-05,42,0.0
2022-08-05,2022-09-16,0,3150.0
2022-08-12,2022-08-12,42,0.0
2022-08-12,2022-09-23,0,3035.0
2022-08-19,2022-08-19,42,0.0
2022-08-19,2022-09-30,0,2520.0
2022-08-26,2022-08-26,42,0.0
2022-08-26,2022-10-07,0,2690.0
2022-09-02,2022-09-02,42,0.0
2022-09-02,2022-10-14,0,2945.0
2022-09-09,2022-09-09,42,0.0
2022-09-09,2022-10-21,0,3150.0
2022-09-16,2022-09-16,45,0.0
2022-09-16,2022-10-31,0,-11001.0
2022-09-30,2022-09-30,42,0.0
2022-09-30,2022-11-11,0,3385.0
2022-10-07,2022-10-07,42,0.0
2022-10-07,2022-11-18,0,3495.0
2022-10-14,2022-10-14,47,0.0
2022-10-14,2022-11-30,0,3495.0
2022-11-04,2022-11-04,42,0.0
2022-11-04,2022-12-16,0,-3498.0
2022-11-18,2022-11-18,42,0.0
2022-11-18,2022-12-30,0,785.0
2022-12-23,2022-12-23,45,0.0
2022-12-23,2023-02-06,0,2190.0
2023-01-06,2023-01-06,42,0.0
2023-01-06,2023-02-17,0,2655.0
2023-01-13,2023-01-13,46,0.0
2023-01-13,2023-02-28,0,-9977.0
2023-02-03,2023-02-03,42,0.0
2023-02-03,2023-03-17,0,2290.0
2023-02-10,2023-02-10,42,0.0
2023-02-10,2023-03-24,0,-590.0
2023-02-17,2023-02-17,42,0.0
2023-02-17,2023-03-31,0,-4835.0
2023-03-03,2023-03-03,42,0.0
2023-03-03,2023-04-14,0,2235.0
2023-03-10,2023-03-10,42,0.0
2023-03-10,2023-04-21,0,2410.0
2023-03-17,2023-03-17,42,0.0
2023-03-17,2023-04-28,0,2635.0
2023-03-24,2023-03-24,42,0.0
2023-03-24,2023-05-05,0,2795.0
2023-04-14,2023-04-14,47,0.0
2023-04-14,2023-05-31,0,-7259.0
2023-04-21,2023-04-21,42,0.0
2023-04-21,2023-06-02,0,2190.0
2023-05-05,2023-05-05,42,0.0
2023-05-05,2023-06-16,0,2380.0
2023-06-02,2023-06-02,42,0.0
2023-06-02,2023-07-14,0,1845.0
2023-06-09,2023-06-09,42,0.0
2023-06-09,2023-07-21,0,1830.0
2023-06-16,2023-06-16,45,0.0
2023-06-16,2023-07-31,0,1725.0
2023-06-30,2023-06-30,42,0.0
2023-06-30,2023-08-11,0,-3939.0
2023-07-07,2023-07-07,42,0.0
2023-07-07,2023-08-18,0,-3205.0
2023-07-14,2023-07-14,42,0.0
2023-07-14,2023-08-25,0,1680.0
2023-08-04,2023-08-04,42,0.0
2023-08-04,2023-09-15,0,-835.0
2023-08-11,2023-08-11,42,0.0
2023-08-11,2023-09-22,0,2150.0
2023-08-18,2023-08-18,42,0.0
2023-08-18,2023-09-29,0,-3693.0
2023-09-08,2023-09-08,42,0.0
2023-09-08,2023-10-20,0,2025.0
2023-09-15,2023-09-15,46,0.0
2023-09-15,2023-10-31,0,2005.0
2023-09-22,2023-09-22,42,0.0
2023-09-22,2023-11-03,0,-7124.0
2023-09-29,2023-09-29,42,0.0
2023-09-29,2023-11-10,0,379.0
2023-10-06,2023-10-06,42,0.0
