trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit30,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2021-04-09,2021-05-21,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4103.29,4156.18,4105.0,4010.0,4200.0,2255.0,17.14,13.32,185.4,-2127.0,570.0,1185.0,-2127.0,LOSS,expiration,1355.0,-5345.0,525.0,1185.0,925.0,265.0,-110.0,-225.0,-495.0
2021-04-16,2021-05-28,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4173.23,4204.6,4175.0,4080.0,4270.0,2160.0,16.77,13.1,185.5,-4380.0,-4380.0,-4380.0,-4380.0,LOSS,expiration,355.0,-5845.0,-40.0,-225.0,-1250.0,-1580.0,-2195.0,-2675.0,-2670.0
2021-04-23,2021-06-04,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4153.09,4229.55,4155.0,4055.0,4255.0,2115.0,18.03,14.37,202.4,-430.0,545.0,-430.0,-430.0,LOSS,expiration,545.0,-5490.0,-25.0,-585.0,-1185.0,-1055.0,-1600.0,-1152.5,-1152.5
2021-04-30,2021-06-11,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4196.6,4247.4,4195.0,4085.0,4305.0,2770.0,17.98,15.49,220.5,-2990.0,-2990.0,-2990.0,-2990.0,LOSS,expiration,405.0,-5750.0,-235.0,-1115.0,-2595.0,-2170.0,-3315.0,-3225.0,-3530.0
2021-05-07,2021-06-18,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4219.5,4165.59,4220.0,4120.0,4320.0,2210.0,18.02,13.84,198.1,-2349.0,-2349.0,-2349.0,-2349.0,LOSS,expiration,90.0,-6290.0,-395.0,-1635.0,-1950.0,-2575.0,-2737.5,-3197.5,-2817.5
2021-05-14,2021-06-30,SPX,47,0.50,Inverse Butterfly 1-2-1 (calls),4156.78,4297.32,4155.0,4030.0,4280.0,2750.0,19.7,16.57,247.1,2750.0,715.0,1390.0,2370.0,WIN,expiration,2920.0,-4580.0,-255.0,-285.0,-20.0,-1930.0,-125.0,1105.0,1695.0
2021-06-04,2021-07-16,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4217.1,4326.81,4220.0,4130.0,4310.0,2030.0,16.65,12.46,178.3,2030.0,690.0,1570.0,1570.0,WIN,expiration,2210.0,-2480.0,-60.0,135.0,1570.0,1665.0,1410.0,1615.0,1770.0
2021-06-11,2021-07-23,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4243.32,4411.1,4240.0,4150.0,4330.0,2145.0,15.43,12.23,176.1,2145.0,575.0,1175.0,1690.0,WIN,expiration,2195.0,-2980.0,-280.0,945.0,1250.0,1555.0,1260.0,-590.0,-215.0
2021-06-18,2021-07-30,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4188.86,4395.97,4190.0,4085.0,4295.0,2140.0,19.52,14.58,207.2,2140.0,550.0,1075.0,1610.0,WIN,expiration,2160.0,-1820.0,805.0,1410.0,1435.0,755.0,1580.0,1900.0,1915.0
2021-07-09,2021-08-20,SPX,42,0.50,Inverse Butterfly 1-2-1 (calls),4349.82,4400.27,4350.0,4260.0,4440.0,1985.0,16.97,12.17,179.5,-1988.0,565.0,995.0,1550.0,LOSS,expiration,1675.0,-1820.0,-160.0,465.0,480.0,580.0,1550.0,850.0,885.0
