date,trade_date,spot,pnl_usd,cumulative_pnl,mtm_pnl
2024-02-02,2024-02-02,4920.8,-25.0,-51615.0,-51615.0
2024-02-09,2024-02-09,5008.64,-450.0,-52065.0,-52065.0
2024-02-16,2024-02-16,5006.97,80.0,-51985.0,-51985.0
2024-02-23,2024-02-23,5107.19,-365.0,-52350.0,-52350.0
2024-03-01,2024-03-01,5099.71,-350.0,-52700.0,-52700.0
2024-03-08,2024-03-08,5185.2,-170.0,-52870.0,-52870.00000000001
2024-03-15,2024-03-15,5118.91,35.0,-52835.0,-52835.0
2024-03-22,2024-03-22,5238.06,-810.0,-53645.0,-53645.00000000001
2024-04-05,2024-04-05,5178.55,125.0,-53520.0,-53520.00000000001
2024-04-12,2024-04-12,5169.55,-60.0,-53580.0,-53579.99999999999
2024-04-19,2024-04-19,5011.44,1865.0,-51715.0,-51715.0
2024-04-26,2024-04-26,5094.17,-3355.0,-55070.0,-55070.00000000001
2024-05-03,2024-05-03,5131.33,-510.0,-55580.0,-55579.99999999999
2024-05-10,2024-05-10,5237.51,-330.0,-55910.0,-55910.0
2024-05-17,2024-05-17,5298.56,-270.0,-56180.0,-56179.99999999999
2024-05-24,2024-05-24,5282.08,-70.0,-56250.0,-56250.0
2024-05-31,2024-05-31,5239.0,-110.0,-56360.0,-56360.0
2024-06-07,2024-06-07,5347.82,-785.0,-57145.0,-57145.00000000001
2024-06-14,2024-06-14,5421.03,-210.0,-57355.0,-57354.99999999999
2024-06-21,2024-06-21,5459.93,-180.0,-57535.0,-57535.0
2024-06-28,2024-06-28,5501.89,-485.0,-58020.0,-58020.00000000001
2024-07-05,2024-07-05,5545.13,-275.0,-58295.0,-58295.00000000001
2024-07-12,2024-07-12,5608.55,-335.0,-58630.0,-58629.99999999999
2024-07-19,2024-07-19,5546.86,630.0,-58000.0,-58000.0
2024-07-26,2024-07-26,5447.39,800.0,-57200.0,-57200.0
2024-08-02,2024-08-02,5355.7,3630.0,-53570.0,-53570.00000000001
2024-08-09,2024-08-09,5306.78,450.0,-53120.0,-53120.00000000001
2024-08-16,2024-08-16,5535.25,-8180.0,-61300.0,-61300.0
2024-08-23,2024-08-23,5608.63,-5.0,-61305.0,-61304.99999999999
2024-08-30,2024-08-30,5627.85,-640.0,-61945.0,-61945.00000000001
2024-09-06,2024-09-06,5486.27,955.0,-60990.0,-60990.0
2024-09-13,2024-09-13,5616.5,-1995.0,-62985.0,-62985.0
2024-09-20,2024-09-20,5692.9,-305.0,-63290.0,-63290.0
2024-09-27,2024-09-27,5751.94,-500.0,-63790.0,-63790.0
2024-10-04,2024-10-04,5720.73,375.0,-63415.0,-63415.0
2024-10-11,2024-10-11,5793.98,-850.0,-64265.0,-64265.0
2024-10-18,2024-10-18,5851.48,-645.0,-64910.0,-64910.0
2024-10-25,2024-10-25,5851.3,-560.0,-65470.0,-65470.00000000001
2024-11-01,2024-11-01,5749.02,350.0,-65120.0,-65120.00000000001
2024-11-08,2024-11-08,5988.72,-1800.0,-66920.0,-66920.0
2024-11-15,2024-11-15,5900.51,-415.0,-67335.0,-67335.0
2024-11-22,2024-11-22,5970.42,-85.0,-67420.0,-67420.0
2024-11-29,2024-11-29,6019.0,-560.0,-67980.0,-67980.0
2024-12-06,2024-12-06,6098.24,-320.0,-68300.0,-68300.0
2024-12-13,2024-12-13,6068.64,-155.0,-68455.0,-68455.0
2024-12-20,2024-12-20,5846.0,3700.0,-64755.0,-64754.99999999999
2024-12-27,2024-12-27,5992.41,-4325.0,-69080.0,-69080.0
2025-01-03,2025-01-03,5902.75,-450.0,-69530.0,-69530.0
2025-01-10,2025-01-10,5850.85,120.0,-69410.0,-69410.0
2025-01-17,2025-01-17,5985.09,-1625.0,-71035.0,-71035.0
2025-01-24,2025-01-24,6124.53,-355.0,-71390.0,-71390.0
2025-01-31,2025-01-31,6102.03,-295.0,-71685.0,-71685.0
2025-02-07,2025-02-07,6098.82,-520.0,-72205.0,-72205.0
2025-02-14,2025-02-14,6121.17,-420.0,-72625.0,-72625.0
2025-02-21,2025-02-21,6097.94,-260.0,-72885.0,-72885.0
2025-02-28,2025-02-28,5872.14,2035.0,-70850.0,-70850.0
2025-03-07,2025-03-07,5750.59,3725.0,-67125.0,-67125.0
2025-03-14,2025-03-14,5589.5,4085.0,-63040.0,-63040.0
2025-03-21,2025-03-21,5621.35,-3945.0,-66985.0,-66985.0
2025-03-28,2025-03-28,5660.93,-620.0,-67605.0,-67605.0
2025-04-04,2025-04-04,5251.51,9830.0,-57775.0,-57775.0
2025-04-11,2025-04-11,5283.85,1870.0,-55905.0,-55904.99999999999
2025-04-25,2025-04-25,5466.22,-4650.0,-60555.0,-60554.99999999999
2025-05-02,2025-05-02,5653.77,-1040.0,-61595.0,-61595.00000000001
2025-05-09,2025-05-09,5686.25,-965.0,-62560.0,-62560.0
2025-05-16,2025-05-16,5926.43,-795.0,-63355.0,-63354.99999999999
2025-05-23,2025-05-23,5779.22,1845.0,-61510.0,-61510.0
2025-05-30,2025-05-30,5881.04,-2545.0,-64055.0,-64054.99999999999
2025-06-06,2025-06-06,6010.92,-940.0,-64995.0,-64995.00000000001
2025-06-13,2025-06-13,5987.86,405.0,-64590.0,-64590.0
2025-06-20,2025-06-20,5996.85,-920.0,-65510.0,-65510.0
2025-06-27,2025-06-27,6166.91,-1040.0,-66550.0,-66550.0
2025-07-11,2025-07-11,6254.01,-950.0,-67500.0,-67500.0
2025-07-18,2025-07-18,6307.17,-610.0,-68110.0,-68110.0
2025-07-25,2025-07-25,6372.79,-540.0,-68650.0,-68650.0
2025-08-01,2025-08-01,6232.49,1765.0,-66885.0,-66885.0
2025-08-08,2025-08-08,6376.35,-2735.0,-69620.0,-69620.0
2025-08-15,2025-08-15,6457.8,-735.0,-70355.0,-70355.0
2025-08-22,2025-08-22,6398.87,-515.0,-70870.0,-70870.0
2025-08-29,2025-08-29,6468.0,-1040.0,-71910.0,-71910.0
2025-09-05,2025-09-05,6521.27,-500.0,-72410.0,-72410.0
2025-09-12,2025-09-12,6590.64,-495.0,-72905.0,-72905.0
2025-09-19,2025-09-19,6647.79,-420.0,-73325.0,-73325.0
