trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae
2024-03-08,2024-03-11,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),5185.2,5118.46,5185.0,5180.0,5190.0,20.0,14.05,9.77,45.9,20.0,10.0,10.0,15.0,WIN,expiration,25.0,-110.0
2024-03-11,2024-03-12,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5100.17,5174.94,5100.0,5090.0,5110.0,60.0,15.87,21.48,57.3,60.0,50.0,50.0,50.0,WIN,expiration,80.0,-1200.0
2024-03-12,2024-03-13,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5140.41,5165.61,5140.0,5135.0,5145.0,25.0,14.37,15.88,42.7,25.0,20.0,20.0,20.0,WIN,expiration,30.0,-1480.0
2024-03-13,2024-03-14,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5166.44,5151.43,5165.0,5160.0,5170.0,20.0,13.91,13.54,36.6,20.0,20.0,20.0,20.0,WIN,expiration,20.0,-140.0
2024-03-14,2024-03-15,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5144.34,5117.42,5145.0,5140.0,5150.0,25.0,14.1,17.25,46.5,25.0,10.0,25.0,25.0,WIN,expiration,25.0,-600.0
2024-03-18,2024-03-19,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5159.26,5178.01,5160.0,5155.0,5165.0,15.0,14.56,16.43,44.4,15.0,5.0,290.0,290.0,WIN,expiration,290.0,-590.0
2024-03-19,2024-03-20,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5137.44,5223.29,5135.0,5125.0,5145.0,60.0,14.29,19.15,51.5,60.0,30.0,30.0,60.0,WIN,expiration,60.0,-1340.0
2024-03-20,2024-03-21,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5175.29,5241.02,5175.0,5165.0,5185.0,85.0,14.06,19.57,53.0,85.0,25.0,140.0,140.0,WIN,expiration,165.0,-1690.0
2024-03-21,2024-03-22,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5254.58,5234.27,5255.0,5250.0,5260.0,20.0,12.79,11.84,32.6,20.0,17.5,17.5,17.5,WIN,expiration,17.5,-150.0
2024-03-22,2024-03-25,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),5238.06,5219.06,5240.0,5235.0,5245.0,25.0,12.91,6.92,32.9,25.0,10.0,22.5,22.5,WIN,expiration,22.5,-120.0
2024-03-25,2024-03-26,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5222.6,5204.18,5225.0,5220.0,5230.0,20.0,13.29,10.65,29.1,20.0,20.0,20.0,20.0,WIN,expiration,20.0,-300.0
2024-03-26,2024-03-27,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5232.4,5249.13,5230.0,5225.0,5235.0,35.0,13.09,9.55,26.2,35.0,12.5,40.0,40.0,WIN,expiration,40.0,-690.0
2024-03-27,2024-03-28,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5227.38,5255.6,5225.0,5220.0,5230.0,30.0,13.14,11.16,30.5,30.0,50.0,50.0,50.0,WIN,expiration,730.0,-2880.0
2024-04-01,2024-04-02,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5261.12,5205.87,5260.0,5255.0,5265.0,100.0,13.59,10.81,29.8,100.0,60.0,60.0,82.5,WIN,expiration,102.5,-320.0
2024-04-02,2024-04-03,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5193.42,5213.18,5195.0,5190.0,5200.0,20.0,15.13,14.35,39.0,20.0,65.0,65.0,65.0,WIN,expiration,65.0,-1430.0
2024-04-04,2024-04-05,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5246.89,5204.8,5245.0,5240.0,5250.0,25.0,13.99,14.74,40.5,25.0,22.5,22.5,22.5,WIN,expiration,30.0,-80.0
2024-04-05,2024-04-08,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),5178.55,5203.62,5180.0,5170.0,5190.0,70.0,16.15,11.42,53.6,70.0,135.0,135.0,135.0,WIN,expiration,135.0,-1290.0
2024-04-08,2024-04-09,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5206.44,5210.06,5205.0,5200.0,5210.0,20.0,15.94,14.86,40.5,20.0,45.0,45.0,45.0,WIN,expiration,45.0,-245.0
2024-04-09,2024-04-10,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5206.22,5159.83,5205.0,5195.0,5215.0,70.0,15.42,21.05,57.4,70.0,20.0,110.0,110.0,WIN,expiration,110.0,-260.0
2024-04-10,2024-04-11,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5156.95,5198.17,5155.0,5145.0,5165.0,65.0,16.13,20.21,54.6,65.0,60.0,60.0,60.0,WIN,expiration,180.0,-1510.0
2024-04-11,2024-04-12,SPX,1,0.15,Inverse Butterfly 1-2-1 (calls),5163.32,5123.6,5165.0,5155.0,5175.0,65.0,15.99,19.71,53.3,65.0,65.0,65.0,65.0,WIN,expiration,65.0,-1250.0
2024-04-12,2024-04-15,SPX,3,0.15,Inverse Butterfly 1-2-1 (calls),5169.55,5061.62,5170.0,5160.0,5180.0,370.0,16.8,12.63,59.2,370.0,315.0,315.0,315.0,WIN,expiration,375.0,-790.0
