trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2022-02-25,2022-03-11,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4288.7,4203.91,4290.0,4160.0,4420.0,3065.0,29.85,25.7,215.9,-1326.0,835.0,-1326.0,-1326.0,LOSS,expiration,940.0,-7525.0,360.0,670.0,525.0,-715.0,-1042.5
2022-03-04,2022-03-18,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4363.49,4462.85,4365.0,4250.0,4480.0,2180.0,32.94,22.47,192.0,465.0,465.0,465.0,465.0,WIN,expiration,380.0,-4745.0,-10.0,-245.0,-1045.0,-450.0,-235.0
2022-03-11,2022-03-25,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4274.69,4543.05,4275.0,4140.0,4410.0,2900.0,29.79,26.65,223.1,2900.0,755.0,1555.0,2230.0,WIN,expiration,3120.0,-4030.0,-270.0,-875.0,705.0,1275.0,1860.0
2022-03-18,2022-04-01,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4407.41,4544.79,4405.0,4290.0,4520.0,2995.0,25.55,22.26,192.1,2995.0,890.0,1600.0,2435.0,WIN,expiration,2990.0,-2050.0,-20.0,625.0,945.0,1335.0,2435.0
2022-03-25,2022-04-08,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4525.13,4489.24,4525.0,4430.0,4620.0,2345.0,21.59,18.28,162.0,-3579.0,620.0,-3579.0,-3579.0,LOSS,expiration,880.0,-5975.0,80.0,620.0,-635.0,-1340.0,-745.0
2022-04-01,2022-04-14,SPX,13,0.60,Inverse Butterfly 1-2-1 (calls),4537.52,4392.44,4540.0,4460.0,4620.0,1830.0,20.2,15.76,134.9,1830.0,557.5,1022.5,1407.5,WIN,expiration,1825.0,-2270.0,-60.0,-185.0,-697.5,-1120.0,-505.0
2022-04-08,2022-04-22,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4476.48,4272.28,4475.0,4380.0,4570.0,2200.0,22.27,18.09,158.6,2200.0,1532.5,1532.5,1997.5,WIN,expiration,2197.5,-3890.0,250.0,-530.0,-885.0,-905.0,-1615.0
2022-04-22,2022-05-06,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4355.15,4146.87,4355.0,4240.0,4470.0,2470.0,23.9,22.31,190.3,2470.0,752.5,1310.0,1857.5,WIN,expiration,2507.5,-3155.0,-150.0,-420.0,-950.0,752.5,615.0
2022-04-29,2022-05-13,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4267.85,4023.56,4270.0,4140.0,4400.0,2885.0,28.98,25.43,212.5,2885.0,737.5,1515.0,2192.5,WIN,expiration,2885.0,-4700.0,-355.0,-565.0,-470.0,737.5,1070.0
2022-05-06,2022-05-20,SPX,14,0.60,Inverse Butterfly 1-2-1 (calls),4146.87,3901.55,4145.0,3925.0,4365.0,7260.0,35.09,44.64,362.5,7260.0,2125.0,4715.0,5660.0,WIN,expiration,7257.5,-6985.0,-115.0,-1030.0,1145.0,-1105.0,-4512.5
