trade_date,exp_date,underlying,dte_entry,spot_entry,spot_exit,iv_atm_pct,vix_entry,short_put,short_call,delta_put,delta_call,total_credit,pnl_usd,in_range,result,exit_method,pnl_tp25,pnl_tp50,pnl_tp75,pnl_dte14,pnl_dte7,pnl_tp25_d14,pnl_tp50_d14,pnl_tp75_d14,pnl_tp25_d7,pnl_tp50_d7,pnl_tp75_d7
2025-01-24,2025-02-28,RUT,35,2306.41,2162.76,,14.75,2115.0,2510.0,-0.0995,0.0842,13.1,1310.0,,WIN,expiration,327.5,655.0,982.5,1090.0,1178.0,327.5,655.0,982.5,327.5,655.0,982.5
2025-01-31,2025-03-14,RUT,42,2307.26,2043.67,,15.31,2100.0,2510.0,-0.1003,0.0987,15.4,-4093.0,,LOSS,expiration,385.0,770.0,-4093.0,-1230.0,-4068.0,385.0,770.0,-1230.0,385.0,770.0,-4068.0
2025-02-07,2025-03-21,RUT,42,2310.45,2056.94,,14.85,2100.0,2550.0,-0.1014,0.0674,13.55,-2951.0,,LOSS,expiration,338.75,-2951.0,-2951.0,-5165.0,-8992.0,338.75,-5165.0,-5165.0,338.75,-8992.0,-8992.0
2025-02-14,2025-03-28,RUT,42,2294.2,2023.24,,14.99,2095.0,2510.0,-0.1001,0.0785,13.4,-5836.0,,LOSS,expiration,-5836.0,-5836.0,-5836.0,-9083.0,-3172.0,-9083.0,-9083.0,-9083.0,-3172.0,-3172.0,-3172.0
2025-02-21,2025-04-04,RUT,42,2256.53,1827.52,,15.7,2030.0,2475.0,-0.0991,0.0855,15.2,-18728.0,,LOSS,expiration,380.0,-18728.0,-18728.0,-1513.0,-223.0,-1513.0,-1513.0,-1513.0,380.0,-223.0,-223.0
2025-02-28,2025-04-11,RUT,42,2137.23,1859.32,,20.95,1960.0,2375.0,-0.1528,0.0811,22.25,-7843.0,,LOSS,expiration,556.25,1112.5,-7843.0,1265.0,-4792.0,556.25,1112.5,1265.0,556.25,1112.5,-4792.0
2025-03-07,2025-04-17,RUT,41,2074.0,1880.25,,24.11,1800.0,2320.0,-0.0872,0.0808,15.4,1540.0,,WIN,expiration,385.0,770.0,1155.0,1235.0,-267.0,385.0,770.0,1155.0,385.0,770.0,1155.0
2025-03-14,2025-04-25,RUT,42,2023.36,1957.58,,23.38,1785.0,2265.0,-0.1013,0.0814,16.4,1640.0,,WIN,expiration,410.0,820.0,1230.0,-3138.0,798.0,410.0,820.0,-3138.0,410.0,820.0,798.0
2025-03-21,2025-05-02,RUT,42,2047.88,2020.57,,20.54,1830.0,2275.0,-0.1012,0.081,15.0,1500.0,,WIN,expiration,375.0,750.0,1125.0,-1293.0,930.0,375.0,-1293.0,-1293.0,375.0,750.0,1125.0
2025-03-28,2025-05-09,RUT,42,2048.09,2023.0,,19.46,1880.0,2280.0,-0.1354,0.0814,17.9,1790.0,,WIN,expiration,447.5,895.0,1342.5,-277.0,968.0,-277.0,-277.0,-277.0,447.5,895.0,1342.5
2025-04-04,2025-05-16,RUT,42,1834.97,2113.39,,35.84,1500.0,2125.0,-0.0907,0.0801,19.95,1995.0,,WIN,expiration,498.75,997.5,1496.25,1653.0,1578.0,498.75,997.5,1496.25,498.75,997.5,1496.25
2025-04-11,2025-05-23,RUT,42,1829.53,2039.52,,42.42,1460.0,2245.0,-0.1029,0.0903,29.6,2960.0,,WIN,expiration,740.0,1480.0,2220.0,2782.0,2885.0,740.0,1480.0,2220.0,740.0,1480.0,2220.0
2025-04-25,2025-06-06,RUT,42,1940.13,2131.83,,27.1,1730.0,2110.0,-0.1417,0.1645,30.2,837.0,,WIN,expiration,755.0,1510.0,2265.0,1658.0,1808.0,755.0,1510.0,1658.0,755.0,1510.0,2265.0
2025-05-02,2025-06-13,RUT,42,2000.65,2100.42,,23.04,1780.0,2160.0,-0.1183,0.1586,24.3,2430.0,,WIN,expiration,607.5,1215.0,1822.5,1570.0,1532.0,607.5,1215.0,1822.5,607.5,1215.0,1822.5
