trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,result,exit_method,in_range
2022-02-25,2022-03-03,SPX,7,1360.0,1464.38,27.59,WIN,expiration,True
2022-03-04,2022-03-10,SPX,7,1830.0,-83.62,31.98,LOSS,expiration,False
2022-03-11,2022-03-17,SPX,7,1510.0,-190.62,30.75,LOSS,expiration,False
2022-03-18,2022-03-24,SPX,7,1530.0,-197.62,23.87,LOSS,expiration,False
2022-03-25,2022-03-31,SPX,7,1215.0,69.38,20.81,WIN,expiration,True
2022-04-01,2022-04-07,SPX,7,1225.0,77.38,19.63,WIN,expiration,True
2022-04-08,2022-04-14,SPX,7,1305.0,147.38,21.16,WIN,expiration,True
2022-04-22,2022-04-28,SPX,7,1450.0,526.38,28.21,WIN,expiration,True
2022-04-29,2022-05-05,SPX,7,1635.0,682.38,33.4,WIN,expiration,True
2022-05-06,2022-05-12,SPX,7,1520.0,79.38,30.19,WIN,expiration,True
2022-05-13,2022-05-19,SPX,7,1475.0,151.38,28.87,WIN,expiration,True
2022-05-20,2022-05-26,SPX,7,1685.0,-220.62,29.43,LOSS,expiration,False
2022-05-27,2022-06-02,SPX,7,1660.0,-203.62,25.72,LOSS,expiration,False
2022-06-03,2022-06-09,SPX,7,1290.0,104.38,24.79,WIN,expiration,True
2022-06-10,2022-06-16,SPX,7,1395.0,-135.62,27.75,LOSS,expiration,False
2022-06-17,2022-06-23,SPX,7,1570.0,-100.62,31.13,LOSS,expiration,False
2022-06-24,2022-06-30,SPX,7,1575.0,-17.62,27.23,LOSS,expiration,False
2022-07-01,2022-07-07,SPX,7,1450.0,-72.62,26.7,LOSS,expiration,False
2022-07-08,2022-07-14,SPX,7,1210.0,-115.62,24.64,LOSS,expiration,False
2022-07-15,2022-07-21,SPX,7,1260.0,-373.62,24.23,LOSS,expiration,False
2022-07-22,2022-07-28,SPX,7,1020.0,9.38,23.03,WIN,expiration,True
2022-07-29,2022-08-04,SPX,7,845.0,202.38,21.33,WIN,expiration,True
2022-08-05,2022-08-11,SPX,7,1025.0,-2.62,21.15,LOSS,expiration,False
2022-08-12,2022-08-18,SPX,7,1225.0,-150.62,19.53,LOSS,expiration,False
2022-08-19,2022-08-25,SPX,7,1205.0,4.38,20.6,WIN,expiration,True
2022-08-26,2022-09-01,SPX,7,1245.0,-208.62,25.56,LOSS,expiration,False
2022-09-02,2022-09-08,SPX,7,1430.0,-65.62,25.47,LOSS,expiration,False
2022-09-09,2022-09-15,SPX,7,995.0,-153.62,22.79,LOSS,expiration,False
2022-09-16,2022-09-22,SPX,7,1195.0,159.38,26.3,WIN,expiration,True
2022-09-23,2022-09-29,SPX,7,1420.0,259.38,29.92,WIN,expiration,True
