trade_date,calendar_date,dte_remaining,pnl_usd
2022-12-20,2022-12-20,0,1537.99
2022-12-21,2022-12-21,0,0.0
2022-12-21,2022-12-21,0,-870.0
2022-12-22,2022-12-22,0,0.0
2022-12-22,2022-12-22,0,353.99
2022-12-23,2022-12-23,0,0.0
2022-12-23,2022-12-23,0,-1120.0
2022-12-27,2022-12-27,0,0.0
2022-12-27,2022-12-27,0,1255.0
2022-12-28,2022-12-28,0,0.0
2022-12-28,2022-12-28,0,-710.0
2022-12-29,2022-12-29,0,0.0
2022-12-29,2022-12-29,0,-78.0
2022-12-30,2022-12-30,0,0.0
2022-12-30,2022-12-30,0,-240.0
2023-01-03,2023-01-03,0,0.0
2023-01-03,2023-01-03,0,943.99
2023-01-04,2023-01-04,0,0.0
2023-01-04,2023-01-04,0,2403.0
2023-01-05,2023-01-05,0,0.0
2023-01-05,2023-01-05,0,820.01
2023-01-06,2023-01-06,0,0.0
2023-01-06,2023-01-06,0,-980.0
2023-01-09,2023-01-09,0,0.0
2023-01-09,2023-01-09,0,-875.0
2023-01-10,2023-01-10,0,0.0
2023-01-10,2023-01-10,0,25.0
2023-01-11,2023-01-11,0,0.0
2023-01-11,2023-01-11,0,-615.0
2023-01-12,2023-01-12,0,0.0
2023-01-12,2023-01-12,0,-936.99
2023-01-13,2023-01-13,0,0.0
2023-01-13,2023-01-13,0,-1365.0
2023-01-17,2023-01-17,0,0.0
2023-01-17,2023-01-17,0,477.0
2023-01-18,2023-01-18,0,0.0
2023-01-18,2023-01-18,0,-705.0
2023-01-19,2023-01-19,0,0.0
2023-01-19,2023-01-19,0,545.01
2023-01-20,2023-01-20,0,0.0
2023-01-20,2023-01-20,0,-920.0
2023-01-23,2023-01-23,0,0.0
2023-01-23,2023-01-23,0,-650.0
2023-01-24,2023-01-24,0,0.0
2023-01-24,2023-01-24,0,-25.0
2023-01-25,2023-01-25,0,0.0
2023-01-25,2023-01-25,0,-770.0
2023-01-26,2023-01-26,0,0.0
2023-01-26,2023-01-26,0,-1190.0
2023-01-27,2023-01-27,0,0.0
2023-01-27,2023-01-27,0,1123.99
2023-01-30,2023-01-30,0,0.0
2023-01-30,2023-01-30,0,-800.0
2023-01-31,2023-01-31,0,0.0
2023-01-31,2023-01-31,0,-1055.0
2023-02-01,2023-02-01,0,0.0
2023-02-01,2023-02-01,0,-851.0
2023-02-02,2023-02-02,0,0.0
2023-02-02,2023-02-02,0,-840.0
2023-02-03,2023-02-03,0,0.0
2023-02-03,2023-02-03,0,688.0
2023-02-06,2023-02-06,0,0.0
2023-02-06,2023-02-06,0,1358.01
2023-02-07,2023-02-07,0,0.0
2023-02-07,2023-02-07,0,-1270.0
2023-02-08,2023-02-08,0,0.0
2023-02-08,2023-02-08,0,-790.0
2023-02-09,2023-02-09,0,0.0
2023-02-09,2023-02-09,0,-800.0
2023-02-10,2023-02-10,0,0.0
2023-02-10,2023-02-10,0,394.0
2023-02-13,2023-02-13,0,0.0
2023-02-13,2023-02-13,0,-619.0
2023-02-14,2023-02-14,0,0.0
2023-02-14,2023-02-14,0,1142.99
2023-02-15,2023-02-15,0,0.0
2023-02-15,2023-02-15,0,-820.0
2023-02-16,2023-02-16,0,0.0
2023-02-16,2023-02-16,0,1040.99
2023-02-17,2023-02-17,0,0.0
2023-02-17,2023-02-17,0,-349.01
2023-02-21,2023-02-21,0,0.0
2023-02-21,2023-02-21,0,-760.0
2023-02-22,2023-02-22,0,0.0
2023-02-22,2023-02-22,0,625.0
2023-02-23,2023-02-23,0,0.0
2023-02-23,2023-02-23,0,342.01
2023-02-24,2023-02-24,0,0.0
2023-02-24,2023-02-24,0,416.0
2023-02-27,2023-02-27,0,0.0
2023-02-27,2023-02-27,0,-905.0
