trade_date,exp_date,underlying,dte_entry,structure,spot_entry,expected_move,short_put,long_put,short_call,long_call,put_width,call_width,retained_dist,total_credit,spot_exit,vix_entry,pnl_usd,pnl_usd_at_exp,result,exit_method,effective_close_date,effective_dit_at_close,in_range,max_risk_usd,pnl_tp10,pnl_tp25,pnl_tp50,pnl_tp75
2023-03-13,2023-03-13,SPX,0,JL,3824.94,51.8,3750.0,3720.0,3825.0,3830.0,30.0,5.0,74.94,528.0,3855.76,24.8,28.0,28.0,WIN,expiration,2023-03-13,0,,2472.0,28.0,28.0,28.0,28.0
2023-03-14,2023-03-14,SPX,0,JL,3908.07,41.3,3850.0,3820.0,3910.0,3915.0,30.0,5.0,58.07,532.0,3919.29,26.87,32.0,32.0,WIN,expiration,2023-03-14,0,,2468.0,53.2,133.0,266.0,399.0
2023-03-15,2023-03-15,SPX,0,JL,3863.99,43.4,3800.0,3770.0,3865.0,3870.0,30.0,5.0,63.99,512.0,3891.93,23.73,12.0,12.0,WIN,expiration,2023-03-15,0,,2488.0,51.2,128.0,256.0,12.0
2023-03-16,2023-03-16,SPX,0,JL,3870.17,40.8,3810.0,3780.0,3875.0,3880.0,30.0,5.0,60.17,510.0,3960.28,26.24,10.0,10.0,WIN,expiration,2023-03-16,0,,2490.0,51.0,127.5,10.0,10.0
2023-03-17,2023-03-17,SPX,0,JL,3953.09,34.35,3900.0,3870.0,3955.0,3960.0,30.0,5.0,53.09,505.0,3916.64,22.97,505.0,505.0,WIN,expiration,2023-03-17,0,,2495.0,50.5,126.25,252.5,378.75
2023-03-20,2023-03-20,SPX,0,JL,3925.77,40.95,3865.0,3835.0,3930.0,3935.0,30.0,5.0,60.77,515.0,3951.57,25.5,15.0,15.0,WIN,expiration,2023-03-20,0,,2485.0,51.5,128.75,15.0,15.0
2023-03-21,2023-03-21,SPX,0,JL,3990.82,26.45,3960.0,3930.0,3995.0,4000.0,30.0,5.0,30.82,515.0,4002.87,24.15,15.0,15.0,WIN,expiration,2023-03-21,0,,2485.0,51.5,128.75,257.5,386.25
2023-03-22,2023-03-22,SPX,0,JL,4002.16,56.0,3925.0,3895.0,4005.0,4010.0,30.0,5.0,77.16,527.0,3936.97,21.38,527.0,527.0,WIN,expiration,2023-03-22,0,,2473.0,52.7,131.75,263.5,395.25
2023-03-23,2023-03-23,SPX,0,JL,3970.62,30.9,3930.0,3900.0,3975.0,3980.0,30.0,5.0,40.62,518.0,3948.72,22.27,518.0,518.0,WIN,expiration,2023-03-23,0,,2482.0,51.8,129.5,259.0,388.5
2023-03-24,2023-03-24,SPX,0,JL,3933.2,40.1,3875.0,3845.0,3935.0,3940.0,30.0,5.0,58.2,530.0,3970.99,22.61,30.0,30.0,WIN,expiration,2023-03-24,0,,2470.0,53.0,132.5,30.0,30.0
2023-03-27,2023-03-27,SPX,0,JL,3995.91,27.75,3960.0,3930.0,4000.0,4005.0,30.0,5.0,35.91,517.0,3977.53,21.73,517.0,517.0,WIN,expiration,2023-03-27,0,,2483.0,51.7,129.25,258.5,387.75
2023-03-28,2023-03-28,SPX,0,JL,3970.89,26.85,3940.0,3910.0,3975.0,3980.0,30.0,5.0,30.89,523.0,3971.27,20.6,523.0,523.0,WIN,expiration,2023-03-28,0,,2477.0,52.3,130.75,261.5,392.25
2023-03-29,2023-03-29,SPX,0,JL,4009.63,22.5,3985.0,3955.0,4010.0,4015.0,30.0,5.0,24.63,543.0,4027.81,19.96,43.0,43.0,WIN,expiration,2023-03-29,0,,2457.0,54.3,135.75,43.0,43.0
2023-03-30,2023-03-30,SPX,0,JL,4052.02,20.75,4030.0,4000.0,4055.0,4060.0,30.0,5.0,22.02,518.0,4050.83,19.11,518.0,518.0,WIN,expiration,2023-03-30,0,,2482.0,51.8,129.5,259.0,388.5
2023-03-31,2023-03-31,SPX,0,JL,4063.25,18.2,4045.0,4015.0,4065.0,4070.0,30.0,5.0,18.25,530.0,4109.31,19.01,30.0,30.0,WIN,expiration,2023-03-31,0,,2470.0,53.0,30.0,30.0,30.0
2023-04-03,2023-04-03,SPX,0,JL,4103.73,21.45,4085.0,4055.0,4105.0,4110.0,30.0,5.0,18.73,580.0,4124.51,18.69,80.0,80.0,WIN,expiration,2023-04-03,0,,2420.0,58.0,145.0,290.0,80.0
2023-04-04,2023-04-04,SPX,0,JL,4128.94,19.25,4110.0,4080.0,4130.0,4135.0,30.0,5.0,18.94,505.0,4100.6,18.54,-431.0,-431.0,LOSS,expiration,2023-04-04,0,,2495.0,-431.0,-431.0,-431.0,-431.0
2023-04-05,2023-04-05,SPX,0,JL,4094.86,20.8,4075.0,4045.0,4095.0,4100.0,30.0,5.0,19.86,555.0,4090.38,19.0,555.0,555.0,WIN,expiration,2023-04-05,0,,2445.0,55.5,138.75,277.5,416.25
2023-04-06,2023-04-06,SPX,0,JL,4081.07,21.55,4060.0,4030.0,4085.0,4090.0,30.0,5.0,21.07,555.0,4105.02,19.08,55.0,55.0,WIN,expiration,2023-04-06,0,,2445.0,55.5,138.75,55.0,55.0
2023-04-10,2023-04-10,SPX,0,JL,4079.49,21.4,4055.0,4025.0,4080.0,4085.0,30.0,5.0,24.49,535.0,4109.11,18.4,35.0,35.0,WIN,expiration,2023-04-10,0,,2465.0,53.5,133.75,35.0,35.0
