trade_date,exp_date,underlying,dte_entry,structure,spot_entry,spot_exit,put_upper,put_center,put_lower,total_credit,vix_entry,iv_atm_pct,em_pct,expected_move,pnl_usd,result,exit_method,mfe,mae,pnl_exit30,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2025-05-02,2025-06-27,SPX,56,BWB 1-2-2 puts (+1/-2/+2),5653.77,6171.97,5450,5200,4400,890.0,23.04,23.04,9.02,510.2,-725.0,LOSS,expiration,555,-725,-275.0,-490.0,-615.0,-695.0,-705.0,-717.5,-715.0
2025-05-09,2025-07-11,SPX,63,BWB 1-2-2 puts (+1/-2/+2),5686.25,6258.35,5500,5250,4400,990.0,21.95,21.95,9.12,518.5,-295.0,LOSS,expiration,770,-295,-85.0,50.0,-275.0,-287.5,-290.0,-290.0,-287.5
2025-05-16,2025-07-18,SPX,63,BWB 1-2-2 puts (+1/-2/+2),5926.43,6296.68,5765,5540,4700,2880.0,17.48,17.48,7.26,430.4,-280.0,LOSS,expiration,825,-615,490.0,50.0,-230.0,-230.0,-265.0,-280.0,-275.0
2025-05-23,2025-07-25,SPX,63,BWB 1-2-2 puts (+1/-2/+2),5779.22,6389.59,5575,5300,4400,1250.0,23.2,23.2,9.64,557.0,-750.0,LOSS,expiration,510,-737.5,-470.0,-700.0,-720.0,-730.0,-730.0,-730.0,-735.0
2025-05-30,2025-07-25,SPX,56,BWB 1-2-2 puts (+1/-2/+2),5881.04,6389.59,5700,5475,4600,710.0,19.7,19.7,7.72,453.8,-165.0,LOSS,expiration,665,-165,265.0,-120.0,-147.5,-155.0,-155.0,-155.0,-160.0
2025-06-06,2025-08-01,SPX,56,BWB 1-2-2 puts (+1/-2/+2),6010.92,6237.3,5850,5650,4850,440.0,17.2,17.2,6.74,405.0,-70.0,LOSS,expiration,735,-77.5,405.0,85.0,-25.0,-20.0,-65.0,-57.5,-65.0
2025-06-13,2025-08-15,SPX,63,BWB 1-2-2 puts (+1/-2/+2),5987.86,6450.12,5805,5555,4580,1180.0,20.48,20.48,8.51,509.5,-325.0,LOSS,expiration,620,-355,100.0,-280.0,-300.0,-345.0,-327.5,-312.5,-315.0
2025-06-20,2025-08-15,SPX,56,BWB 1-2-2 puts (+1/-2/+2),5996.85,6450.12,5825,5590,4700,610.0,19.64,19.64,7.69,461.3,-415.0,LOSS,expiration,450,-425,60.0,-350.0,-370.0,-425.0,-412.5,-410.0,-405.0
2025-06-27,2025-08-29,SPX,63,BWB 1-2-2 puts (+1/-2/+2),6166.91,6461.82,6015,5800,4925,930.0,16.28,16.28,6.76,417.1,-235.0,LOSS,expiration,625,-385,185.0,125.0,-230.0,-225.0,-385.0,-230.0,-230.0
2025-07-11,2025-09-05,SPX,56,BWB 1-2-2 puts (+1/-2/+2),6254.01,6482.16,6100,5900,5100,320.0,16.62,16.62,6.51,407.1,-225.0,LOSS,expiration,945,-232.5,555.0,35.0,235.0,-155.0,-207.5,-150.0,-150.0
