trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3,pnl_tp25_exit14,pnl_tp25_exit10,pnl_tp25_exit7,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit14,pnl_tp50_exit10,pnl_tp50_exit7,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit14,pnl_tp75_exit10,pnl_tp75_exit7,pnl_tp75_exit5,pnl_tp75_exit3
2024-02-23,2024-03-08,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5107.19,5124.37,5105.0,5085.0,5125.0,160.0,14.19,11.92,119.3,97.0,40.0,80.0,120.0,WIN,expiration,160.0,-3320.0,10.0,-20.0,-45.0,-40.0,-290.0,40.0,40.0,40.0,40.0,40.0,80.0,80.0,80.0,80.0,80.0,120.0,120.0,120.0,120.0,120.0
2024-03-01,2024-03-15,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5099.71,5117.42,5100.0,5085.0,5115.0,75.0,13.28,10.36,103.4,75.0,18.75,37.5,56.25,WIN,expiration,270.0,-1750.0,0.0,-60.0,10.0,-20.0,-40.0,0.0,-60.0,18.75,18.75,18.75,0.0,-60.0,37.5,37.5,37.5,0.0,-60.0,56.25,56.25,56.25
2024-03-08,2024-03-22,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5185.2,5234.27,5185.0,5165.0,5205.0,145.0,14.05,13.13,133.3,145.0,36.25,72.5,108.75,WIN,expiration,300.0,-1560.0,5.0,0.0,-15.0,-25.0,-45.0,5.0,36.25,36.25,36.25,36.25,5.0,72.5,72.5,72.5,72.5,5.0,0.0,-15.0,-25.0,-45.0
2024-03-15,2024-03-28,SPX,13,0.15,Inverse Butterfly 1-2-1 (calls),5118.91,5255.6,5120.0,5100.0,5140.0,150.0,14.91,12.94,125.1,150.0,37.5,75.0,112.5,WIN,expiration,630.0,-4030.0,0.0,55.0,145.0,80.0,100.0,0.0,37.5,37.5,37.5,37.5,0.0,75.0,75.0,75.0,75.0,0.0,55.0,112.5,112.5,112.5
2024-03-22,2024-04-05,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5238.06,5204.8,5240.0,5225.0,5255.0,85.0,12.91,9.8,100.5,85.0,21.25,42.5,63.75,WIN,expiration,140.0,-1260.0,5.0,-15.0,-70.0,-40.0,-15.0,21.25,21.25,21.25,21.25,21.25,42.5,42.5,42.5,42.5,42.5,63.75,63.75,63.75,63.75,63.75
2024-04-05,2024-04-19,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5178.55,4967.2,5180.0,5160.0,5200.0,115.0,16.15,13.48,136.8,115.0,28.75,57.5,86.25,WIN,expiration,170.0,-1700.0,-5.0,-35.0,-75.0,-85.0,5.0,28.75,28.75,28.75,28.75,28.75,-5.0,-35.0,57.5,57.5,57.5,-5.0,-35.0,86.25,86.25,86.25
2024-04-12,2024-04-26,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5169.55,5098.69,5170.0,5145.0,5195.0,190.0,16.8,14.92,151.0,190.0,47.5,95.0,142.5,WIN,expiration,182.5,-2320.0,30.0,10.0,82.5,155.0,90.0,30.0,47.5,47.5,47.5,47.5,30.0,10.0,95.0,95.0,95.0,30.0,10.0,142.5,142.5,142.5
2024-04-19,2024-05-03,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5011.44,5127.77,5010.0,4985.0,5035.0,145.0,18.34,17.17,168.6,145.0,36.25,72.5,108.75,WIN,expiration,300.0,-2460.0,-5.0,25.0,75.0,25.0,-30.0,-5.0,25.0,36.25,36.25,36.25,-5.0,25.0,72.5,72.5,72.5,-5.0,25.0,75.0,25.0,-30.0
2024-04-26,2024-05-10,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5094.17,5222.04,5095.0,5075.0,5115.0,160.0,15.27,13.39,133.6,160.0,40.0,80.0,120.0,WIN,expiration,255.0,-3520.0,45.0,35.0,15.0,10.0,110.0,40.0,40.0,40.0,40.0,40.0,45.0,80.0,80.0,80.0,80.0,45.0,120.0,120.0,120.0,120.0
2024-05-03,2024-05-17,SPX,14,0.15,Inverse Butterfly 1-2-1 (calls),5131.33,5303.89,5130.0,5110.0,5150.0,90.0,13.82,13.21,132.7,90.0,22.5,45.0,67.5,WIN,expiration,205.0,-4280.0,-40.0,5.0,20.0,10.0,75.0,22.5,22.5,22.5,22.5,22.5,45.0,45.0,45.0,45.0,45.0,67.5,67.5,67.5,67.5,67.5
