trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,result,exit_method,in_range
2022-10-28,2022-11-10,SPX,14,760.0,231.38,25.75,WIN,expiration,True
2022-11-04,2022-11-17,SPX,14,710.0,211.38,24.55,WIN,expiration,True
2022-11-11,2022-11-25,SPX,14,865.0,-306.62,22.52,LOSS,expiration,False
2022-11-18,2022-12-01,SPX,14,815.0,-158.62,23.12,LOSS,expiration,False
2022-11-25,2022-12-08,SPX,14,640.0,-123.62,20.5,LOSS,expiration,False
2022-12-02,2022-12-15,SPX,14,400.0,379.38,19.06,WIN,expiration,True
2022-12-09,2022-12-22,SPX,14,580.0,54.38,22.83,WIN,expiration,True
2022-12-16,2022-12-29,SPX,14,795.0,-31.62,22.62,LOSS,expiration,False
2022-12-23,2023-01-05,SPX,14,775.0,-45.62,20.87,LOSS,expiration,False
2022-12-30,2023-01-12,SPX,14,510.0,-71.62,21.67,LOSS,expiration,False
2023-01-06,2023-01-19,SPX,14,570.0,81.38,21.13,WIN,expiration,True
2023-01-13,2023-01-26,SPX,14,565.0,126.38,18.35,WIN,expiration,True
2023-01-20,2023-02-02,SPX,14,460.0,11.38,19.85,WIN,expiration,True
2023-01-27,2023-02-09,SPX,14,810.0,154.38,18.51,WIN,expiration,True
2023-02-03,2023-02-16,SPX,14,610.0,174.38,18.33,WIN,expiration,True
2023-02-10,2023-02-23,SPX,14,575.0,-190.62,20.53,LOSS,expiration,False
2023-02-17,2023-03-02,SPX,14,645.0,-298.62,20.02,LOSS,expiration,False
2023-02-24,2023-03-09,SPX,14,505.0,189.38,21.67,WIN,expiration,True
2023-03-03,2023-03-16,SPX,14,480.0,284.38,18.49,WIN,expiration,True
2023-03-10,2023-03-23,SPX,14,545.0,534.38,24.8,WIN,expiration,True
2023-03-17,2023-03-30,SPX,14,665.0,1.38,25.51,WIN,expiration,True
2023-03-24,2023-04-06,SPX,14,1140.0,658.38,21.74,WIN,expiration,True
2023-03-31,2023-04-13,SPX,14,1025.0,-358.62,18.7,LOSS,expiration,False
2023-04-14,2023-04-27,SPX,14,600.0,9.38,17.07,WIN,expiration,True
2023-04-21,2023-05-04,SPX,14,445.0,146.38,16.77,WIN,expiration,True
2023-04-28,2023-05-11,SPX,14,495.0,-85.62,15.78,LOSS,expiration,False
2023-05-05,2023-05-18,SPX,14,590.0,27.38,17.19,WIN,expiration,True
2023-05-12,2023-05-25,SPX,14,760.0,579.38,17.03,WIN,expiration,True
2023-05-19,2023-06-01,SPX,14,565.0,-90.62,16.81,LOSS,expiration,False
2023-05-26,2023-06-08,SPX,14,505.0,-104.62,17.95,LOSS,expiration,False
2023-06-02,2023-06-15,SPX,14,2060.0,4334.38,14.6,WIN,expiration,True
2023-06-09,2023-06-22,SPX,14,375.0,25.38,13.83,WIN,expiration,True
2023-06-16,2023-06-29,SPX,14,440.0,-163.62,13.54,LOSS,expiration,False
2023-06-23,2023-07-06,SPX,14,440.0,126.38,13.44,WIN,expiration,True
