trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2021-08-27,2021-09-24,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4484.57,4455.58,4485.0,4380.0,4590.0,3325.0,17.59,11.41,141.7,-4233.0,831.25,-4233.0,-4233.0,LOSS,expiration,1622.5,-6470.0,650.0,-365.0,-1472.5,-2195.0,-90.0,-95.0
2021-09-03,2021-10-01,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4529.59,4355.01,4530.0,4425.0,4635.0,3235.0,16.6,11.04,138.5,3235.0,808.75,1617.5,2426.25,WIN,expiration,3240.0,-3065.0,-855.0,-1480.0,637.5,-860.0,-340.0,1695.0
2021-09-10,2021-10-08,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4502.2,4390.96,4500.0,4375.0,4625.0,4200.0,17.69,13.31,166.0,2604.0,1050.0,2100.0,3150.0,WIN,expiration,3652.5,-2795.0,-1110.0,-1577.5,-950.0,2377.5,2095.0,3000.0
2021-09-17,2021-10-15,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4451.54,4471.01,4450.0,4315.0,4585.0,4195.0,19.5,14.8,182.5,-7204.0,-7204.0,-7204.0,-7204.0,LOSS,expiration,430.0,-9085.0,-1400.0,-737.5,-725.0,-2865.0,-3760.0,-1390.0
2021-09-24,2021-10-22,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4452.18,4545.08,4450.0,4315.0,4585.0,4395.0,18.68,14.36,177.0,403.0,1098.75,403.0,403.0,WIN,expiration,1112.5,-5210.0,-617.5,-1852.5,-1580.0,-3890.0,-3950.0,-2912.5
2021-10-01,2021-10-29,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4309.7,4604.75,4310.0,4140.0,4480.0,4590.0,22.91,19.01,226.9,4590.0,1147.5,2295.0,3442.5,WIN,expiration,4755.0,-6300.0,675.0,1005.0,2915.0,4025.0,4090.0,4610.0
2021-10-08,2021-11-05,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4398.49,4696.4,4400.0,4260.0,4540.0,4220.0,18.92,15.13,184.3,4220.0,1055.0,2110.0,3165.0,WIN,expiration,4230.0,-2060.0,-495.0,2610.0,3125.0,3280.0,3540.0,3760.0
2021-10-15,2021-11-12,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4465.65,4682.96,4465.0,4350.0,4580.0,3735.0,15.9,12.35,152.7,3735.0,933.75,1867.5,2801.25,WIN,expiration,4020.0,-1620.0,1390.0,2425.0,2705.0,3355.0,3590.0,3505.0
2021-10-22,2021-11-19,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4552.15,4697.95,4550.0,4435.0,4665.0,3995.0,15.06,12.09,152.4,3995.0,998.75,1997.5,2996.25,WIN,expiration,4655.0,-1310.0,680.0,2530.0,2490.0,1625.0,2890.0,3165.0
2021-10-29,2021-11-26,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4585.1,4596.63,4585.0,4460.0,4710.0,4255.0,17.06,13.32,169.2,-7082.0,1063.75,2127.5,3191.25,LOSS,expiration,3500.0,-17875.0,1675.0,855.0,1860.0,2255.0,3455.0,1925.0
2021-11-05,2021-12-03,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4713.96,4577.1,4715.0,4615.0,4815.0,3220.0,15.07,10.29,134.3,3220.0,805.0,1610.0,2415.0,WIN,expiration,3225.0,-2630.0,-460.0,-975.0,-1332.5,-1750.0,-1075.0,-410.0
2021-11-12,2021-12-10,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4653.64,4711.65,4655.0,4535.0,4775.0,3830.0,17.08,12.32,158.8,-2505.0,957.5,-2505.0,-2505.0,LOSS,expiration,1180.0,-5775.0,605.0,255.0,-690.0,-910.0,-1207.5,-1950.0
2021-11-19,2021-12-17,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4710.65,4620.26,4710.0,4575.0,4845.0,4675.0,17.87,13.7,178.7,149.0,149.0,149.0,149.0,WIN,expiration,747.5,-5290.0,-430.0,-225.0,-1572.5,-2122.5,-2867.5,-2235.0
2021-11-26,2021-12-23,SPX,27,0.75,Inverse Butterfly 1-2-1 (calls),4624.37,4725.29,4625.0,4445.0,4805.0,5190.0,25.77,19.13,240.6,-2781.0,-2781.0,-2781.0,-2781.0,LOSS,expiration,0.0,-9100.0,-1380.0,-1460.0,-1820.0,-1685.0,-4952.5,-4402.5
2021-12-03,2021-12-31,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4577.1,4766.1,4575.0,4350.0,4800.0,7405.0,28.99,23.67,300.1,4015.0,1851.25,3702.5,5553.75,WIN,expiration,6505.0,-6195.0,240.0,-1105.0,-3812.5,295.0,2155.0,5370.0
2021-12-10,2022-01-07,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4687.31,4676.51,4685.0,4535.0,4835.0,4635.0,20.18,15.19,197.2,-9516.0,1158.75,-9516.0,-9516.0,LOSS,expiration,1695.0,-11090.0,-645.0,-1270.0,1290.0,-85.0,-1305.0,1695.0
2021-12-17,2022-01-14,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4624.26,4661.92,4625.0,4455.0,4795.0,5105.0,22.2,17.56,224.9,-8203.0,1276.25,2552.5,-8203.0,LOSS,expiration,3175.0,-10385.0,1005.0,1985.0,3175.0,-1330.0,-4305.0,-4277.5
2021-12-31,2022-01-31,SPX,31,0.75,Inverse Butterfly 1-2-1 (calls),4775.22,4515.44,4775.0,4640.0,4910.0,4400.0,17.72,13.11,182.4,4400.0,1100.0,2200.0,3300.0,WIN,expiration,4402.5,-2710.0,157.5,910.0,3887.5,4217.5,4112.5,4397.5
2022-01-07,2022-02-04,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4703.29,4499.81,4705.0,4560.0,4850.0,4260.0,19.15,14.89,194.0,4260.0,1065.0,2130.0,3195.0,WIN,expiration,4265.0,-3090.0,-1050.0,1597.5,3522.5,4020.0,3272.5,2277.5
2022-01-14,2022-02-11,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4659.03,4416.86,4660.0,4500.0,4820.0,4445.0,20.24,16.69,215.3,4445.0,1111.25,2222.5,3333.75,WIN,expiration,4455.0,-4510.0,-85.0,3132.5,-762.5,270.0,-197.5,1782.5
2022-01-21,2022-02-18,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4450.74,4348.67,4450.0,4235.0,4665.0,6115.0,27.11,23.42,288.7,-5252.0,-5252.0,-5252.0,-5252.0,LOSS,expiration,290.0,-11840.0,-1460.0,-1935.0,-3935.0,-3620.0,-5160.0,-6850.0
2022-01-28,2022-02-28,SPX,31,0.75,Inverse Butterfly 1-2-1 (calls),4297.45,4373.75,4295.0,4040.0,4550.0,7275.0,31.85,26.92,337.2,-10350.0,1818.75,3637.5,-10350.0,LOSS,expiration,4175.0,-14805.0,2300.0,-440.0,-2700.0,-5032.5,-7295.0,-10665.0
2022-02-04,2022-03-04,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4484.16,4363.49,4485.0,4300.0,4670.0,5190.0,24.54,20.07,249.3,-1159.0,1297.5,2595.0,3892.5,LOSS,expiration,4205.0,-5160.0,-590.0,-2302.5,-2115.0,-25.0,-3572.5,-3057.5
2022-02-11,2022-03-11,SPX,28,0.75,Inverse Butterfly 1-2-1 (calls),4503.19,4203.91,4505.0,4325.0,4685.0,5270.0,24.25,19.4,241.9,5270.0,1317.5,2635.0,3952.5,WIN,expiration,5265.0,-4280.0,-1280.0,152.5,-1852.5,-2097.5,1172.5,4122.5
