trade_date,exp_date,underlying,spot_entry,vix_entry,roll_dir,restruck,short_put,long_put,delta_short,delta_long,lpv_debit,far_short,far_exp,far_credit,delta_far,total_credit,net_roll,net_roll_usd,spot_close,spot_exit,effective_close_date,cash_close,mark,cum_pnl_pts,pnl_usd,pnl_usd_at_exp,result,exit_method,in_range
2021-12-10,,SPX,4687.31,20.18,T3_reopen,,,,,,,,,,,,0.0,0.0,4684.22,4684.22,2021-12-10,3.9,0.0,3.9,0.0,0.0,flat,roll,1
2021-12-10,2022-01-07,SPX,4684.22,20.04,entry,,4465.0,4565.0,-0.198,-0.299,15.65,3670.0,2022-03-18,27.5,-0.07,11.85,-0.63,-63.0,4800.33,4800.33,2021-12-30,15.75,-11.85,3.27,-63.0,-63.0,loss,roll,0
2021-12-30,,SPX,4800.33,16.94,T1_reopen,,,,,,,,,,,,0.0,0.0,4800.36,4800.36,2021-12-30,3.27,0.0,3.27,0.0,0.0,flat,roll,1
2021-12-30,2022-01-28,SPX,4800.36,16.92,entry,,4610.0,4695.0,-0.199,-0.297,12.75,3890.0,2022-03-31,23.9,-0.07,11.15,38.45,3845.0,4533.11,4533.11,2022-01-19,14.42,-11.15,41.72,3845.0,3845.0,win,roll,1
2022-01-19,2022-02-18,SPX,4533.11,23.99,T2_lpv_tp,,4265.0,4385.0,-0.199,-0.302,22.9,3890.0,2022-03-31,23.9,-0.07,11.15,2.4,240.0,4503.19,4503.19,2022-02-11,55.62,-13.9,44.12,240.0,240.0,win,roll,1
2022-02-11,,SPX,4503.19,24.25,T3_reopen,,,,,,,,,,,,0.0,0.0,4501.12,4501.12,2022-02-11,44.12,0.0,44.12,0.0,0.0,flat,roll,1
2022-02-11,2022-03-11,SPX,4501.12,24.2,entry,,4240.0,4355.0,-0.201,-0.3,20.65,3475.0,2022-05-20,28.2,-0.07,7.55,7.5,750.0,4363.49,4363.49,2022-03-04,51.67,-7.55,51.62,750.0,750.0,win,roll,1
2022-03-04,,SPX,4363.49,32.94,T3_reopen,,,,,,,,,,,,0.0,0.0,4363.49,4363.49,2022-03-04,51.62,0.0,51.62,0.0,0.0,flat,roll,1
2022-03-04,2022-04-01,SPX,4363.49,34.11,entry,,3990.0,4150.0,-0.2,-0.301,36.95,3225.0,2022-05-31,32.65,-0.07,-4.3,-2.25,-225.0,4358.36,4358.36,2022-03-16,47.32,4.3,49.37,-225.0,-225.0,loss,roll,0
2022-03-16,2022-04-01,SPX,4358.36,26.38,T1_far_roll,,3990.0,4150.0,-0.2,-0.301,36.95,3350.0,2022-06-17,28.1,-0.07,-4.3,-3.32,-332.0,4525.13,4525.13,2022-03-25,59.37,-10.0,46.05,-332.0,-332.0,loss,roll,0
2022-03-25,,SPX,4525.13,21.59,T3_reopen,,,,,,,,,,,,0.0,0.0,4539.81,4539.81,2022-03-25,46.05,0.0,46.05,0.0,0.0,flat,roll,1
2022-03-25,2022-04-22,SPX,4539.81,21.18,entry,,4315.0,4415.0,-0.2,-0.3,17.3,3650.0,2022-06-17,23.75,-0.071,6.45,22.45,2245.0,4390.76,4390.76,2022-04-18,52.5,-6.45,68.5,2245.0,2245.0,win,roll,1
2022-04-18,,SPX,4390.76,23.68,T3_reopen,,,,,,,,,,,,0.0,0.0,4399.54,4399.54,2022-04-18,68.5,0.0,68.5,0.0,0.0,flat,roll,1
2022-04-18,2022-05-16,SPX,4399.54,22.75,entry,,4150.0,4270.0,-0.186,-0.303,22.9,3500.0,2022-07-15,24.65,-0.071,1.75,19.65,1965.0,4075.66,4075.66,2022-05-02,70.25,-1.75,88.15,1965.0,1965.0,win,roll,1
2022-05-02,2022-05-31,SPX,4075.66,35.93,T2_lpv_tp,,3755.0,3895.0,-0.199,-0.299,28.35,3500.0,2022-07-15,24.65,-0.071,1.75,26.75,2675.0,3912.15,3912.15,2022-05-24,121.5,-33.35,114.9,2675.0,2675.0,win,roll,1
2022-05-24,,SPX,3912.15,29.65,T3_reopen,,,,,,,,,,,,0.0,0.0,3885.1,3885.1,2022-05-24,114.9,0.0,114.9,0.0,0.0,flat,roll,1
2022-05-24,2022-06-24,SPX,3885.1,30.76,entry,,3610.0,3725.0,-0.202,-0.301,26.25,2975.0,2022-08-19,26.4,-0.072,0.15,-6.95,-695.0,4158.34,4158.34,2022-05-27,115.05,-0.15,107.95,-695.0,-695.0,loss,roll,0
2022-05-27,2022-06-24,SPX,4158.34,25.59,T1_far_roll,,3610.0,3725.0,-0.202,-0.301,26.25,3275.0,2022-08-19,24.0,-0.07,0.15,13.2,1320.0,3698.69,3698.69,2022-06-17,125.9,-17.95,121.15,1320.0,1320.0,win,roll,1
2022-06-17,,SPX,3698.69,31.44,T3_reopen,,,,,,,,,,,,0.0,0.0,3650.51,3650.51,2022-06-17,121.15,0.0,121.15,0.0,0.0,flat,roll,1
2022-06-17,2022-07-15,SPX,3650.51,32.79,entry,,3400.0,3510.0,-0.2,-0.299,21.85,2750.0,2022-09-16,25.05,-0.069,3.2,-3.0,-300.0,3880.39,3880.39,2022-06-24,124.35,-3.2,118.15,-300.0,-300.0,loss,roll,0
2022-06-24,2022-07-15,SPX,3880.39,27.76,T1_far_roll,,3400.0,3510.0,-0.2,-0.299,21.85,3050.0,2022-09-16,22.35,-0.069,3.2,3.22,322.0,3874.9,3874.9,2022-07-08,134.75,-16.6,121.37,322.0,322.0,win,roll,1
2022-07-08,,SPX,3874.9,25.76,T3_reopen,,,,,,,,,,,,0.0,0.0,3907.12,3907.12,2022-07-08,121.37,0.0,121.37,0.0,0.0,flat,roll,1
2022-07-08,2022-08-05,SPX,3907.12,24.93,entry,,3680.0,3775.0,-0.2,-0.298,20.65,3120.0,2022-09-30,21.2,-0.07,0.55,-1.65,-165.0,3966.83,3966.83,2022-07-25,121.92,-0.55,119.72,-165.0,-165.0,loss,roll,0
2022-07-25,,SPX,3966.83,23.62,T1_reopen,,,,,,,,,,,,0.0,0.0,3963.48,3963.48,2022-07-25,119.72,0.0,119.72,0.0,0.0,flat,roll,1
2022-07-25,2022-08-22,SPX,3963.48,23.58,entry,,3750.0,3840.0,-0.196,-0.295,18.65,3180.0,2022-10-21,20.65,-0.069,2.0,-5.1,-510.0,4140.46,4140.46,2022-08-05,121.72,-2.0,114.62,-510.0,-510.0,loss,roll,0
2022-08-05,2022-08-22,SPX,4140.46,21.33,T1_far_roll,,3750.0,3840.0,-0.196,-0.295,18.65,3370.0,2022-10-31,20.9,-0.071,2.0,6.01,601.0,4278.61,4278.61,2022-08-15,132.53,-17.9,120.63,601.0,601.0,win,roll,1
2022-08-15,,SPX,4278.61,20.57,T3_reopen,,,,,,,,,,,,0.0,0.0,4267.13,4267.13,2022-08-15,120.63,0.0,120.63,0.0,0.0,flat,roll,1
2022-08-15,2022-09-12,SPX,4267.13,20.37,entry,,4080.0,4160.0,-0.198,-0.296,16.05,3440.0,2022-11-18,22.3,-0.07,6.25,20.8,2080.0,4019.38,4019.38,2022-08-29,126.88,-6.25,141.43,2080.0,2080.0,win,roll,1
2022-08-29,2022-09-26,SPX,4019.38,26.92,T2_lpv_tp,,3800.0,3900.0,-0.217,-0.318,22.6,3440.0,2022-11-18,22.3,-0.07,6.25,21.4,2140.0,3864.26,3864.26,2022-09-19,158.33,-16.9,162.83,2140.0,2140.0,win,roll,1
2022-09-19,,SPX,3864.26,26.98,T3_reopen,,,,,,,,,,,,0.0,0.0,3877.48,3877.48,2022-09-19,162.83,0.0,162.83,0.0,0.0,flat,roll,1
2022-09-19,2022-10-17,SPX,3877.48,26.65,entry,,3650.0,3750.0,-0.202,-0.306,23.45,3075.0,2022-12-16,21.65,-0.07,-1.8,7.15,715.0,3649.07,3649.07,2022-09-23,161.03,1.8,169.98,715.0,715.0,win,roll,1
2022-09-23,,SPX,3649.07,32.25,T4_reopen,,,,,,,,,,,,0.0,0.0,3695.23,3695.23,2022-09-23,169.98,0.0,169.98,0.0,0.0,flat,roll,1
2022-09-23,2022-10-21,SPX,3695.23,29.74,entry,,3450.0,3560.0,-0.201,-0.302,22.7,2900.0,2022-12-16,22.95,-0.071,0.25,-0.95,-95.0,3677.16,3677.16,2022-10-14,170.23,-0.25,169.03,-95.0,-95.0,loss,roll,0
2022-10-14,,SPX,3677.16,31.65,T3_reopen,,,,,,,,,,,,0.0,0.0,3630.85,3630.85,2022-10-14,169.03,0.0,169.03,0.0,0.0,flat,roll,1
2022-10-14,2022-11-14,SPX,3630.85,32.39,entry,,3375.0,3480.0,-0.201,-0.297,25.35,2750.0,2023-01-20,25.0,-0.069,-0.35,-6.9,-690.0,3840.11,3840.11,2022-10-25,168.68,0.35,162.13,-690.0,-690.0,loss,roll,0
2022-10-25,2022-11-14,SPX,3840.11,29.86,T1_far_roll,,3375.0,3480.0,-0.201,-0.297,25.35,3025.0,2023-01-20,22.0,-0.069,-0.35,4.25,425.0,3768.57,3768.57,2022-11-07,178.23,-16.1,166.38,425.0,425.0,win,roll,1
2022-11-07,,SPX,3768.57,25.37,T3_reopen,,,,,,,,,,,,0.0,0.0,3784.22,3784.22,2022-11-07,166.38,0.0,166.38,0.0,0.0,flat,roll,1
2022-11-07,2022-12-06,SPX,3784.22,24.87,entry,,3580.0,3670.0,-0.198,-0.303,22.2,3090.0,2023-01-31,18.85,-0.07,-3.35,-10.53,-1053.0,3956.46,3956.46,2022-11-21,163.03,3.35,155.85,-1053.0,-1053.0,loss,roll,0
2022-11-21,2022-12-06,SPX,3956.46,23.16,T1_far_roll,,3580.0,3670.0,-0.198,-0.303,22.2,3225.0,2023-02-17,20.0,-0.07,-3.35,1.43,143.0,3961.11,3961.11,2022-11-29,173.78,-17.92,157.28,143.0,143.0,win,roll,1
2022-11-29,,SPX,3961.11,22.44,T3_reopen,,,,,,,,,,,,0.0,0.0,3967.77,3967.77,2022-11-29,157.28,0.0,157.28,0.0,0.0,flat,roll,1
2022-11-29,2022-12-28,SPX,3967.77,21.92,entry,,3750.0,3850.0,-0.177,-0.288,20.8,3240.0,2023-02-28,20.1,-0.071,-0.7,-4.98,-498.0,4048.9,4048.9,2022-12-14,156.58,0.7,152.3,-498.0,-498.0,loss,roll,0
2022-12-14,2022-12-28,SPX,4048.9,22.31,T1_far_roll,,3750.0,3850.0,-0.177,-0.288,20.8,3330.0,2023-03-17,19.7,-0.07,-0.7,15.43,1543.0,3847.3,3847.3,2022-12-21,166.28,-13.98,167.73,1543.0,1543.0,win,roll,1
2022-12-21,,SPX,3847.3,20.36,T3_reopen,,,,,,,,,,,,0.0,0.0,3881.84,3881.84,2022-12-21,167.73,0.0,167.73,0.0,0.0,flat,roll,1
2022-12-21,2023-01-20,SPX,3881.84,20.19,entry,,3705.0,3785.0,-0.199,-0.303,18.45,3240.0,2023-03-17,16.8,-0.069,-1.65,-7.05,-705.0,3949.39,3949.39,2023-01-12,166.08,1.65,160.68,-705.0,-705.0,loss,roll,0
2023-01-12,,SPX,3949.39,20.07,T1_reopen,,,,,,,,,,,,0.0,0.0,3968.8,3968.8,2023-01-12,160.68,0.0,160.68,0.0,0.0,flat,roll,1
2023-01-12,2023-02-10,SPX,3968.8,19.48,entry,,3795.0,3875.0,-0.198,-0.303,18.05,3280.0,2023-04-21,18.6,-0.069,0.55,-7.23,-723.0,4119.19,4119.19,2023-02-01,161.23,-0.55,153.45,-723.0,-723.0,loss,roll,0
2023-02-01,,SPX,4119.19,18.19,T1_reopen,,,,,,,,,,,,0.0,0.0,4148.16,4148.16,2023-02-02,153.45,0.0,153.45,0.0,0.0,flat,roll,1
2023-02-02,2023-03-03,SPX,4148.16,17.6,entry,,3985.0,4060.0,-0.2,-0.3,15.0,3510.0,2023-04-28,16.7,-0.069,1.7,26.6,2660.0,3970.65,3970.65,2023-02-23,155.15,-1.7,180.05,2660.0,2660.0,win,roll,1
2023-02-23,2023-03-24,SPX,3970.65,22.41,T2_lpv_tp,,3770.0,3860.0,-0.203,-0.303,19.7,3510.0,2023-04-28,16.7,-0.069,1.7,3.95,395.0,4062.45,4062.45,2023-03-06,183.6,-3.55,184.0,395.0,395.0,win,roll,1
2023-03-06,2023-03-24,SPX,4062.45,18.68,T1_far_roll,,3770.0,3860.0,-0.203,-0.303,19.7,3470.0,2023-05-31,16.1,-0.071,1.7,-11.15,-1115.0,3942.35,3942.35,2023-03-17,192.15,-8.15,172.85,-1115.0,-1115.0,loss,roll,0
2023-03-17,,SPX,3942.35,24.02,T3_reopen,,,,,,,,,,,,0.0,0.0,3918.23,3918.23,2023-03-17,172.85,0.0,172.85,0.0,0.0,flat,roll,1
