trade_date,exp_date,underlying,dte_entry,spot_entry,vix_entry,roll_dir,restruck,short_put,long_put,delta_short,delta_long,iv_short,iv_long,dte_close,total_credit,cash_close,cash_open,net_roll,net_roll_usd,spot_close,spot_exit,effective_close_date,dd_index,k_gap,mark,cum_pnl_pts,pnl_usd,pnl_usd_at_exp,result,exit_method,in_range
2022-10-14,2022-11-25,SPX,42,3677.16,31.65,up,1,3460.0,3200.0,-0.253,-0.103,0.2915,0.3391,35,17.7,-21.5,17.7,-3.8,-380.0,3700.91,3700.91,2022-10-21,-23.67,0.0,-17.7,-333.3,-25.0,-25.0,loss,roll,0
2022-10-21,2022-12-02,SPX,42,3700.91,29.38,up,1,3490.0,3225.0,-0.251,-0.095,0.2769,0.3236,35,20.85,-17.95,20.85,2.9,290.0,3835.58,3835.58,2022-10-28,-23.18,0.0,-20.85,-322.55,1075.0,1075.0,win,roll,1
2022-10-28,2022-12-09,SPX,42,3835.58,27.39,up,1,3630.0,3400.0,-0.249,-0.103,0.2557,0.2929,35,15.4,-10.1,15.4,5.3,530.0,3759.4,3759.4,2022-11-04,-20.39,0.0,-15.4,-335.8,-1325.0,-1325.0,loss,roll,0
2022-11-04,2022-12-16,SPX,42,3759.4,24.72,down,0,3630.0,3400.0,-0.315,-0.128,0.2327,0.2719,35,25.0,-28.65,25.0,-3.65,-365.0,3959.27,3959.27,2022-11-11,-21.97,0.0,-25.0,-318.95,1685.0,1685.0,win,roll,1
2022-11-11,2022-12-23,SPX,42,3959.27,23.43,up,1,3770.0,3530.0,-0.253,-0.099,0.2309,0.2729,35,16.9,-8.15,16.9,8.75,875.0,3962.7,3962.7,2022-11-18,-17.82,0.0,-16.9,-318.1,85.0,85.0,win,roll,1
2022-11-18,2022-12-30,SPX,42,3962.7,23.6,up,1,3780.0,3550.0,-0.249,-0.099,0.2174,0.2611,35,14.15,-16.05,14.15,-1.9,-190.0,4029.54,4029.54,2022-11-25,-17.75,0.0,-14.15,-313.6,450.0,450.0,win,roll,1
2022-11-25,2023-01-06,SPX,42,4029.54,20.97,up,1,3860.0,3640.0,-0.249,-0.098,0.1965,0.2396,35,13.5,-9.65,13.5,3.85,385.0,4033.69,4033.69,2022-12-02,-16.36,0.0,-13.5,-315.9,-230.0,-230.0,loss,roll,0
2022-12-02,2023-01-13,SPX,42,4033.69,19.88,up,1,3860.0,3650.0,-0.248,-0.1,0.2002,0.2372,35,13.95,-15.8,13.95,-1.85,-185.0,3957.58,3957.58,2022-12-09,-16.27,0.0,-13.95,-321.55,-565.0,-565.0,loss,roll,0
2022-12-09,2023-01-20,SPX,42,3957.58,22.86,down,0,3860.0,3650.0,-0.341,-0.154,0.1953,0.244,35,16.3,-19.6,16.3,-3.3,-330.0,3876.13,3876.13,2022-12-16,-17.85,0.0,-16.3,-334.0,-1245.0,-1245.0,loss,roll,0
2022-12-16,2023-01-27,SPX,42,3876.13,22.41,down,0,3860.0,3650.0,-0.434,-0.198,0.0806,0.218,35,23.6,-28.75,23.6,-5.15,-515.0,3799.89,3799.89,2022-12-23,-19.54,0.0,-23.6,-344.7,-1070.0,-1070.0,loss,roll,0
2022-12-23,2023-02-03,SPX,42,3799.89,22.49,down,0,3860.0,3650.0,-0.541,-0.277,0.3013,0.214,35,23.95,-34.3,23.95,-10.35,-1035.0,3818.57,3818.57,2022-12-30,-21.13,0.0,-23.95,-353.0,-830.0,-830.0,loss,roll,0
2022-12-30,2023-02-10,SPX,42,3818.57,22.03,up,1,3650.0,3450.0,-0.253,-0.099,0.2119,0.2405,35,17.65,-32.25,17.65,-14.6,-1460.0,3821.08,3821.08,2023-01-06,-20.74,0.0,-17.65,-352.15,85.0,85.0,win,roll,1
2023-01-06,2023-02-17,SPX,42,3821.08,21.85,up,1,3655.0,3460.0,-0.252,-0.1,0.2065,0.2354,35,15.7,-16.8,15.7,-1.1,-110.0,3961.6,3961.6,2023-01-13,-20.69,0.0,-15.7,-341.05,1110.0,1110.0,win,roll,1
2023-01-13,2023-02-24,SPX,42,3961.6,18.7,up,1,3810.0,3625.0,-0.247,-0.1,0.176,0.2101,35,11.8,-4.6,11.8,7.2,720.0,3910.21,3910.21,2023-01-20,-17.77,0.0,-11.8,-343.85,-280.0,-280.0,loss,roll,0
2023-01-20,2023-03-03,SPX,42,3910.21,20.23,down,0,3810.0,3625.0,-0.315,-0.143,0.1691,0.2172,35,11.85,-14.6,11.85,-2.75,-275.0,4061.85,4061.85,2023-01-27,-18.84,0.0,-11.85,-336.85,700.0,700.0,win,roll,1
2023-01-27,2023-03-10,SPX,42,4061.85,18.38,up,1,3910.0,3700.0,-0.247,-0.095,0.1713,0.216,35,11.75,-4.85,11.75,6.9,690.0,4149.73,4149.73,2023-02-03,-15.69,0.0,-11.75,-330.85,600.0,600.0,win,roll,1
2023-02-03,2023-03-17,SPX,42,4149.73,18.46,up,1,3995.0,3765.0,-0.252,-0.1,0.1755,0.231,35,10.85,-5.75,10.85,5.1,510.0,4073.56,4073.56,2023-02-10,-13.86,0.0,-10.85,-341.6,-1075.0,-1075.0,loss,roll,0
2023-02-10,2023-03-24,SPX,42,4073.56,21.31,down,0,3990.0,3775.0,-0.351,-0.164,0.1724,0.2393,35,12.2,-21.6,12.2,-9.4,-940.0,4054.66,4054.66,2023-02-17,-15.45,10.0,-12.2,-346.85,-525.0,-525.0,loss,roll,0
2023-02-17,2023-03-31,SPX,42,4054.66,21.02,down,0,3990.0,3775.0,-0.367,-0.167,0.1514,0.2271,35,13.7,-17.45,13.7,-3.75,-375.0,3951.24,3951.24,2023-02-24,-15.84,0.0,-13.7,-359.0,-1215.0,-1215.0,loss,roll,0
2023-02-24,2023-04-06,SPX,41,3951.24,22.76,down,0,3990.0,3775.0,-0.512,-0.247,0.3361,0.2094,34,21.55,-25.85,21.55,-4.3,-430.0,4009.72,4009.72,2023-03-03,-17.98,0.0,-21.55,-367.95,-895.0,-895.0,loss,roll,0
2023-03-03,2023-04-14,SPX,42,4009.72,19.21,up,1,3855.0,3660.0,-0.252,-0.098,0.1817,0.214,35,14.15,-30.5,14.15,-16.35,-1635.0,3894.8,3894.8,2023-03-10,-16.77,0.0,-14.15,-371.0,-305.0,-305.0,loss,roll,0
2023-03-10,2023-04-21,SPX,42,3894.8,23.36,down,0,3855.0,3660.0,-0.403,-0.199,0.1356,0.2272,35,12.7,-17.2,12.7,-4.5,-450.0,3942.35,3942.35,2023-03-17,-19.16,0.0,-12.7,-366.0,500.0,500.0,win,roll,1
