trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit5,pnl_exit3,pnl_tp25_exit5,pnl_tp25_exit3,pnl_tp50_exit5,pnl_tp50_exit3,pnl_tp75_exit5,pnl_tp75_exit3
2021-12-10,2021-12-17,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4687.31,4620.26,4685.0,4670.0,4700.0,95.0,20.18,15.31,99.4,95.0,23.75,47.5,71.25,WIN,expiration,92.5,-1430.0,-15.0,-20.0,-15.0,-20.0,-15.0,-20.0,-15.0,-20.0
2021-12-17,2021-12-23,SPX,6,0.15,Inverse Butterfly 1-2-1 (calls),4624.26,4725.29,4625.0,4610.0,4640.0,65.0,22.2,19.4,115.0,65.0,16.25,32.5,48.75,WIN,expiration,75.0,-2560.0,-5.0,-30.0,-5.0,-30.0,-5.0,-30.0,-5.0,-30.0
2021-12-31,2022-01-07,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4775.22,4676.51,4775.0,4765.0,4785.0,55.0,17.72,11.23,74.3,55.0,13.75,27.5,41.25,WIN,expiration,80.0,-1720.0,-10.0,-10.0,13.75,13.75,27.5,27.5,41.25,41.25
2022-01-07,2022-01-14,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4703.29,4661.92,4705.0,4690.0,4720.0,80.0,19.15,14.66,95.5,80.0,20.0,40.0,60.0,WIN,expiration,82.5,-390.0,-10.0,-25.0,-10.0,-25.0,-10.0,-25.0,-10.0,-25.0
2022-01-14,2022-01-21,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4659.03,4397.87,4660.0,4645.0,4675.0,80.0,20.24,16.95,109.3,80.0,20.0,40.0,60.0,WIN,expiration,112.5,-350.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0
2022-01-21,2022-01-28,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4450.74,4431.8,4450.0,4425.0,4475.0,135.0,27.11,26.39,162.7,-545.0,33.75,67.5,101.25,LOSS,expiration,117.5,-1750.0,15.0,-10.0,15.0,-10.0,15.0,-10.0,15.0,-10.0
2022-01-28,2022-02-04,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4297.45,4499.81,4295.0,4265.0,4325.0,155.0,31.85,32.81,195.2,155.0,38.75,77.5,116.25,WIN,expiration,205.0,-4110.0,25.0,165.0,38.75,38.75,77.5,77.5,116.25,116.25
2022-02-04,2022-02-11,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4484.16,4416.86,4485.0,4465.0,4505.0,110.0,24.54,22.69,140.9,110.0,27.5,55.0,82.5,WIN,expiration,260.0,-1030.0,-5.0,-60.0,-5.0,-60.0,-5.0,-60.0,-5.0,-60.0
2022-02-11,2022-02-18,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4503.19,4348.67,4505.0,4485.0,4525.0,115.0,24.25,21.68,135.2,115.0,28.75,57.5,86.25,WIN,expiration,152.5,-640.0,-15.0,-50.0,-15.0,-50.0,-15.0,-50.0,-15.0,-50.0
2022-02-18,2022-02-25,SPX,7,0.15,Inverse Butterfly 1-2-1 (calls),4392.71,4288.7,4395.0,4375.0,4415.0,95.0,27.85,23.86,145.1,95.0,23.75,47.5,71.25,WIN,expiration,145.0,-1335.0,-35.0,-35.0,23.75,23.75,47.5,47.5,71.25,71.25
