trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,spot_exit,result,exit_method,in_range,call_lower,call_center,call_upper,call_debit,put_lower,put_center,put_upper,put_debit
2023-05-19,2023-06-09,SPX,21,435.0,-435.0,16.81,4298.86,LOSS,expiration,False,4350.0,4400.0,4450.0,1.95,3980.0,4030.0,4080.0,2.4
2023-05-26,2023-06-16,SPX,21,480.0,3478.98,17.95,4409.59,WIN,expiration,True,4370.0,4420.0,4470.0,2.4,3995.0,4045.0,4095.0,2.4
2023-06-02,2023-06-23,SPX,21,430.0,-430.0,14.6,4348.33,LOSS,expiration,False,4450.0,4500.0,4550.0,1.7,4080.0,4130.0,4180.0,2.6
2023-06-09,2023-06-30,SPX,21,490.0,547.99,13.83,4450.38,WIN,expiration,True,4440.0,4490.0,4540.0,2.5,4100.0,4150.0,4200.0,2.4
2023-06-16,2023-07-07,SPX,21,525.0,-525.0,13.54,4398.95,LOSS,expiration,False,4550.0,4600.0,4650.0,2.75,4200.0,4250.0,4300.0,2.5
2023-06-23,2023-07-14,SPX,21,495.0,1046.99,13.44,4505.42,WIN,expiration,True,4490.0,4540.0,4590.0,2.45,4155.0,4205.0,4255.0,2.5
2023-06-30,2023-07-21,SPX,21,485.0,-485.0,13.59,4536.34,LOSS,expiration,False,4585.0,4635.0,4685.0,2.45,4260.0,4310.0,4360.0,2.4
2023-07-07,2023-07-28,SPX,21,500.0,1723.0,14.83,4582.23,WIN,expiration,True,4560.0,4610.0,4660.0,2.5,4195.0,4245.0,4295.0,2.5
2023-07-14,2023-08-04,SPX,21,515.0,-515.0,13.34,4478.03,LOSS,expiration,False,4650.0,4700.0,4750.0,2.55,4300.0,4350.0,4400.0,2.6
2023-07-21,2023-08-11,SPX,21,520.0,-520.0,13.6,4464.05,LOSS,expiration,False,4690.0,4740.0,4790.0,2.6,4310.0,4360.0,4410.0,2.6
2023-07-28,2023-08-18,SPX,21,500.0,-500.0,13.33,4369.71,LOSS,expiration,False,4720.0,4770.0,4820.0,2.5,4375.0,4425.0,4475.0,2.5
2023-08-04,2023-08-25,SPX,21,495.0,-495.0,17.1,4405.71,LOSS,expiration,False,4650.0,4700.0,4750.0,2.45,4225.0,4275.0,4325.0,2.5
2023-08-11,2023-09-01,SPX,21,495.0,-495.0,14.84,4515.77,LOSS,expiration,False,4630.0,4680.0,4730.0,2.45,4230.0,4280.0,4330.0,2.5
2023-08-18,2023-09-08,SPX,21,515.0,-515.0,17.3,4457.49,LOSS,expiration,False,4550.0,4600.0,4650.0,2.65,4120.0,4170.0,4220.0,2.5
2023-08-25,2023-09-15,SPX,21,500.0,-500.0,15.68,4450.32,LOSS,expiration,False,4570.0,4620.0,4670.0,2.5,4190.0,4240.0,4290.0,2.5
2023-09-01,2023-09-22,SPX,21,510.0,996.01,13.09,4320.06,WIN,expiration,True,4650.0,4700.0,4750.0,2.6,4305.0,4355.0,4405.0,2.5
2023-09-08,2023-09-29,SPX,21,500.0,4304.98,13.84,4288.05,WIN,expiration,True,4605.0,4655.0,4705.0,2.4,4240.0,4290.0,4340.0,2.6
2023-09-15,2023-10-06,SPX,21,520.0,1630.0,13.79,4308.5,WIN,expiration,True,4590.0,4640.0,4690.0,2.7,4230.0,4280.0,4330.0,2.5
2023-09-22,2023-10-13,SPX,21,505.0,-505.0,17.2,4327.78,LOSS,expiration,False,4505.0,4555.0,4605.0,2.55,4075.0,4125.0,4175.0,2.5
2023-09-29,2023-10-20,SPX,21,495.0,-495.0,17.52,4224.16,LOSS,expiration,False,4475.0,4525.0,4575.0,2.45,4035.0,4085.0,4135.0,2.5
2023-10-06,2023-10-27,SPX,21,505.0,4257.99,17.45,4117.37,WIN,expiration,True,4505.0,4555.0,4605.0,2.55,4065.0,4115.0,4165.0,2.5
2023-10-13,2023-11-03,SPX,21,500.0,-500.0,19.32,4358.34,LOSS,expiration,False,4510.0,4560.0,4610.0,2.5,4055.0,4105.0,4155.0,2.5
2023-10-20,2023-11-10,SPX,21,485.0,-485.0,21.71,4415.24,LOSS,expiration,False,4440.0,4490.0,4540.0,2.35,3950.0,4000.0,4050.0,2.5
2023-10-27,2023-11-17,SPX,21,515.0,-515.0,21.27,4514.02,LOSS,expiration,False,4320.0,4370.0,4420.0,2.55,3845.0,3895.0,3945.0,2.6
2023-11-03,2023-11-24,SPX,21,480.0,3453.98,14.91,4559.34,WIN,expiration,True,4520.0,4570.0,4620.0,2.3,4140.0,4190.0,4240.0,2.5
2023-11-10,2023-12-01,SPX,21,560.0,3902.99,14.17,4594.63,WIN,expiration,True,4550.0,4600.0,4650.0,3.0,4190.0,4240.0,4290.0,2.6
2023-11-17,2023-12-08,SPX,21,505.0,-505.0,13.8,4604.37,LOSS,expiration,False,4650.0,4700.0,4750.0,2.55,4300.0,4350.0,4400.0,2.5
2023-12-01,2023-12-22,SPX,21,480.0,-17.01,12.63,4754.63,LOSS,expiration,False,4750.0,4800.0,4850.0,2.3,4375.0,4425.0,4475.0,2.5
2023-12-08,2023-12-29,SPX,21,515.0,468.01,12.35,4769.83,WIN,expiration,True,4760.0,4810.0,4860.0,2.55,4410.0,4460.0,4510.0,2.6
2023-12-15,2024-01-05,SPX,21,510.0,-510.0,12.28,4697.24,LOSS,expiration,False,4850.0,4900.0,4950.0,2.6,4505.0,4555.0,4605.0,2.5
2023-12-22,2024-01-12,SPX,21,510.0,-510.0,13.03,4783.83,LOSS,expiration,False,4920.0,4970.0,5020.0,2.5,4530.0,4580.0,4630.0,2.6
2023-12-29,2024-01-19,SPX,21,490.0,-490.0,12.45,4839.81,LOSS,expiration,False,4925.0,4975.0,5025.0,2.5,4560.0,4610.0,4660.0,2.4
2024-01-05,2024-01-26,SPX,21,485.0,3612.02,13.35,4890.97,WIN,expiration,True,4850.0,4900.0,4950.0,2.45,4460.0,4510.0,4560.0,2.4
