trade_date,exp_date,underlying,dte_entry,total_credit,pnl_usd,vix_entry,spot_exit,result,exit_method,in_range,call_lower,call_center,call_upper,call_debit,put_lower,put_center,put_upper,put_debit,pnl_tp50,pnl_tp100,pnl_tp200
2023-02-22,2023-02-23,SPX,1,415.0,-415.0,22.29,4012.32,LOSS,expiration,False,4035.0,4075.0,4115.0,1.9,3850.0,3890.0,3930.0,2.25,140.0,140.0,220.0
2023-02-23,2023-02-24,SPX,1,410.0,-410.0,21.14,3970.04,LOSS,expiration,False,4075.0,4115.0,4155.0,1.9,3885.0,3925.0,3965.0,2.2,515.0,515.0,515.0
2023-02-24,2023-02-27,SPX,3,400.0,-400.0,21.67,3982.24,LOSS,expiration,False,4020.0,4060.0,4100.0,1.8,3825.0,3865.0,3905.0,2.2,-5.0,-5.0,165.0
2023-02-27,2023-02-28,SPX,1,370.0,-370.0,20.95,3970.15,LOSS,expiration,False,4025.0,4065.0,4105.0,1.8,3850.0,3890.0,3930.0,1.9,-370.0,-370.0,-370.0
2023-02-28,2023-03-01,SPX,1,395.0,-395.0,20.7,3951.39,LOSS,expiration,False,4020.0,4060.0,4100.0,1.8,3850.0,3890.0,3930.0,2.15,-65.0,90.0,-395.0
2023-03-01,2023-03-02,SPX,1,370.0,-370.0,20.58,3981.35,LOSS,expiration,False,4005.0,4045.0,4085.0,1.7,3825.0,3865.0,3905.0,2.0,-65.0,-370.0,-370.0
2023-03-02,2023-03-03,SPX,1,410.0,1153.99,19.59,4045.64,WIN,expiration,True,4030.0,4070.0,4110.0,2.2,3850.0,3890.0,3930.0,1.9,-35.0,45.0,305.0
2023-03-03,2023-03-06,SPX,3,375.0,-375.0,18.49,4048.42,LOSS,expiration,False,4090.0,4130.0,4170.0,1.9,3915.0,3955.0,3995.0,1.85,-375.0,-375.0,-375.0
2023-03-06,2023-03-07,SPX,1,395.0,-395.0,18.61,3986.37,LOSS,expiration,False,4110.0,4150.0,4190.0,2.05,3905.0,3945.0,3985.0,1.9,-95.0,25.0,290.0
2023-03-07,2023-03-08,SPX,1,420.0,-420.0,19.59,3992.01,LOSS,expiration,False,4035.0,4075.0,4115.0,2.05,3865.0,3905.0,3945.0,2.15,-420.0,-420.0,-420.0
2023-03-08,2023-03-09,SPX,1,405.0,2262.99,19.11,3918.32,WIN,expiration,True,4030.0,4070.0,4110.0,2.3,3865.0,3905.0,3945.0,1.75,385.0,10.0,185.0
2023-03-09,2023-03-10,SPX,1,410.0,-410.0,22.61,3861.59,LOSS,expiration,False,4005.0,4045.0,4085.0,1.95,3765.0,3805.0,3845.0,2.15,-35.0,45.0,375.0
2023-03-10,2023-03-13,SPX,3,520.0,-520.0,24.8,3855.76,LOSS,expiration,False,3930.0,3980.0,4030.0,2.4,3675.0,3725.0,3775.0,2.8,295.0,55.0,-520.0
2023-03-13,2023-03-14,SPX,1,490.0,-490.0,26.52,3919.29,LOSS,expiration,False,3985.0,4035.0,4085.0,2.6,3650.0,3700.0,3750.0,2.3,40.0,40.0,-490.0
2023-03-14,2023-03-15,SPX,1,415.0,-415.0,23.73,3891.93,LOSS,expiration,False,3960.0,4000.0,4040.0,2.1,3745.0,3785.0,3825.0,2.05,-65.0,0.0,-415.0
2023-03-15,2023-03-16,SPX,1,515.0,513.0,26.14,3960.28,WIN,expiration,True,3950.0,4000.0,4050.0,2.55,3700.0,3750.0,3800.0,2.6,-5.0,-5.0,430.0
2023-03-16,2023-03-17,SPX,1,410.0,-410.0,22.99,3916.64,LOSS,expiration,False,4020.0,4060.0,4100.0,2.15,3820.0,3860.0,3900.0,1.95,-100.0,100.0,210.0
2023-03-17,2023-03-20,SPX,3,485.0,-485.0,25.51,3951.57,LOSS,expiration,False,4000.0,4050.0,4100.0,2.4,3730.0,3780.0,3830.0,2.45,-485.0,-485.0,-485.0
2023-03-20,2023-03-21,SPX,1,435.0,352.01,24.15,4002.87,WIN,expiration,True,3995.0,4035.0,4075.0,2.25,3810.0,3850.0,3890.0,2.1,630.0,630.0,630.0
2023-03-21,2023-03-22,SPX,1,380.0,-380.0,21.38,3936.97,LOSS,expiration,False,4100.0,4140.0,4180.0,1.8,3835.0,3875.0,3915.0,2.0,-380.0,-380.0,-380.0
2023-03-22,2023-03-23,SPX,1,395.0,-395.0,22.26,3948.72,LOSS,expiration,False,4050.0,4090.0,4130.0,1.9,3820.0,3860.0,3900.0,2.05,-235.0,-395.0,-395.0
2023-03-23,2023-03-24,SPX,1,410.0,-410.0,22.61,3970.99,LOSS,expiration,False,4015.0,4055.0,4095.0,2.05,3785.0,3825.0,3865.0,2.05,-410.0,-410.0,-410.0
2023-03-24,2023-03-27,SPX,3,400.0,-400.0,21.74,3977.53,LOSS,expiration,False,4030.0,4070.0,4110.0,1.85,3815.0,3855.0,3895.0,2.15,-400.0,-400.0,-400.0
2023-03-27,2023-03-28,SPX,1,410.0,-410.0,20.6,3971.27,LOSS,expiration,False,4030.0,4070.0,4110.0,2.15,3850.0,3890.0,3930.0,1.95,-410.0,-410.0,-410.0
2023-03-28,2023-03-29,SPX,1,370.0,1911.01,19.97,4027.81,WIN,expiration,True,4005.0,4045.0,4085.0,1.95,3835.0,3875.0,3915.0,1.75,855.0,855.0,855.0
2023-03-29,2023-03-30,SPX,1,320.0,-320.0,19.12,4050.83,LOSS,expiration,False,4070.0,4110.0,4150.0,1.35,3900.0,3940.0,3980.0,1.85,-65.0,-320.0,-320.0
2023-03-30,2023-03-31,SPX,1,395.0,2036.01,19.02,4109.31,WIN,expiration,True,4085.0,4125.0,4165.0,1.85,3930.0,3970.0,4010.0,2.1,-100.0,-10.0,410.0
2023-03-31,2023-04-03,SPX,3,730.0,-279.02,18.7,4124.51,LOSS,expiration,False,4120.0,4160.0,4200.0,5.4,3965.0,4005.0,4045.0,1.9,145.0,485.0,-279.02
2023-04-03,2023-04-04,SPX,1,430.0,-430.0,18.55,4100.6,LOSS,expiration,False,4155.0,4190.0,4225.0,2.3,4020.0,4055.0,4090.0,2.0,15.0,15.0,220.0
2023-04-04,2023-04-05,SPX,1,555.0,-555.0,19.0,4090.38,LOSS,expiration,False,4120.0,4160.0,4200.0,3.3,3975.0,4015.0,4055.0,2.25,-360.0,-555.0,-555.0
2023-04-05,2023-04-06,SPX,1,390.0,-390.0,19.08,4105.02,LOSS,expiration,False,4125.0,4165.0,4205.0,1.7,3975.0,4015.0,4055.0,2.2,-60.0,-390.0,-390.0
