trade_date,exp_date,underlying,dte_entry,width_sigma,structure,spot_entry,spot_exit,call_atm,call_lo,call_up,total_credit,vix_entry,iv_atm_pct,expected_move,pnl_usd,pnl_tp25,pnl_tp50,pnl_tp75,result,exit_method,mfe,mae,pnl_exit5,pnl_exit3
2024-03-22,2024-03-28,SPX,6,0.50,Inverse Butterfly 1-2-1 (calls),5238.06,5255.6,5240.0,5210.0,5270.0,540.0,12.91,9.47,63.6,-900.0,-900.0,-900.0,-900.0,LOSS,expiration,0.0,-2770.0,-35.0,-145.0
2024-04-05,2024-04-12,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5178.55,5123.6,5180.0,5130.0,5230.0,925.0,16.15,14.32,102.7,925.0,315.0,730.0,730.0,WIN,expiration,930.0,-2000.0,20.0,-55.0
2024-04-12,2024-04-19,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5169.55,4967.2,5170.0,5115.0,5225.0,960.0,16.8,15.51,111.1,960.0,255.0,540.0,780.0,WIN,expiration,962.5,-2920.0,-320.0,110.0
2024-04-19,2024-04-26,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5011.44,5098.69,5010.0,4950.0,5070.0,1170.0,18.34,17.0,118.0,1170.0,505.0,650.0,970.0,WIN,expiration,1140.0,-2350.0,-270.0,-180.0
2024-04-26,2024-05-03,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5094.17,5127.77,5095.0,5040.0,5150.0,1040.0,15.27,14.95,105.4,-1183.0,-1183.0,-1183.0,-1183.0,LOSS,expiration,70.0,-2565.0,-95.0,-195.0
2024-05-03,2024-05-10,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5131.33,5222.04,5130.0,5085.0,5175.0,940.0,13.82,12.09,85.9,940.0,395.0,590.0,720.0,WIN,expiration,960.0,-2060.0,-15.0,175.0
2024-05-10,2024-05-17,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5237.51,5303.89,5240.0,5200.0,5280.0,720.0,12.89,10.91,79.1,720.0,195.0,505.0,605.0,WIN,expiration,720.0,-2540.0,-65.0,-30.0
2024-05-17,2024-05-24,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5298.56,5304.7,5300.0,5265.0,5335.0,680.0,12.36,9.78,71.7,-2350.0,-2350.0,-2350.0,-2350.0,LOSS,expiration,85.0,-3045.0,60.0,-45.0
2024-05-24,2024-05-31,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5282.08,5280.01,5280.0,5245.0,5315.0,775.0,12.59,9.26,67.8,-2724.0,627.5,627.5,627.5,LOSS,expiration,750.0,-5865.0,130.0,130.0
2024-05-31,2024-06-07,SPX,7,0.50,Inverse Butterfly 1-2-1 (calls),5239.0,5346.3,5240.0,5200.0,5280.0,715.0,13.69,11.54,83.7,715.0,220.0,365.0,565.0,WIN,expiration,770.0,-2400.0,220.0,145.0
