trade_date,calendar_date,dte_remaining,spot,put_mid,call_mid,pnl_usd
2025-05-23,2025-06-23,7,2132.68,0.35,6.1,2185.0
2025-05-23,2025-06-25,5,2136.18,0.1,3.1,2510.0
2025-05-23,2025-06-26,4,2172.11,0.075,8.55,1967.5
2025-05-23,2025-06-27,3,2172.53,0.075,6.25,2197.5
2025-05-23,2025-06-30,0,2175.04,0.0,0.0,2830.0
2025-06-13,2025-06-13,42,2100.51,17.65,11.7,0.0
2025-06-13,2025-06-16,39,2129.5,11.0,13.5,485.0
2025-06-13,2025-06-17,38,2101.96,16.8,11.05,150.0
2025-06-13,2025-06-18,37,2112.96,12.9,11.1,535.0
2025-06-13,2025-06-20,35,2109.27,13.35,9.85,615.0
2025-06-13,2025-06-23,32,2132.68,9.65,11.95,775.0
2025-06-13,2025-06-24,31,2161.21,5.9,16.4,705.0
2025-06-13,2025-06-25,30,2136.18,6.2,10.55,1260.0
2025-06-13,2025-06-26,29,2172.11,4.0,17.55,780.0
2025-06-13,2025-06-27,28,2172.53,3.7,17.5,815.0
2025-06-13,2025-06-30,25,2175.04,3.05,17.45,885.0
2025-06-13,2025-07-01,24,2197.54,2.5,24.35,250.0
2025-06-13,2025-07-02,23,2226.68,2.0,35.7,-835.0
2025-06-13,2025-07-03,22,2249.04,1.75,40.6,-1300.0
2025-06-13,2025-07-07,18,2214.23,1.85,24.15,335.0
2025-06-13,2025-07-08,17,2228.74,1.425,29.6,-167.5
2025-06-13,2025-07-09,16,2252.49,0.9,36.8,-835.0
2025-06-13,2025-07-10,15,2263.41,0.65,38.3,-960.0
2025-06-13,2025-07-11,14,2234.83,0.7,22.3,635.0
2025-06-13,2025-07-14,11,2249.73,0.4,27.15,180.0
2025-06-13,2025-07-15,10,2205.05,0.575,10.1,1867.5
2025-06-13,2025-07-16,9,2226.98,0.375,12.6,1637.5
2025-06-13,2025-07-17,8,2253.68,0.2,21.45,770.0
2025-06-13,2025-07-18,7,2240.01,0.1,10.8,1845.0
2025-06-13,2025-07-21,4,2231.13,0.1,5.7,2355.0
2025-06-13,2025-07-22,3,2248.76,0.075,7.6,2167.5
2025-06-13,2025-07-23,2,2283.13,0.075,24.7,457.5
2025-06-13,2025-07-24,1,2252.13,0.075,5.5,2377.5
2025-06-13,2025-07-25,0,2261.07,0.0,1.0701,2827.99
2025-07-11,2025-07-11,42,2234.83,16.9,24.4,0.0
2025-07-11,2025-07-14,39,2249.73,15.45,28.25,-240.0
2025-07-11,2025-07-15,38,2205.05,21.15,16.75,340.0
2025-07-11,2025-07-16,37,2226.98,17.2,20.1,400.0
2025-07-11,2025-07-17,36,2253.68,12.55,26.65,210.0
2025-07-11,2025-07-18,35,2240.01,14.85,21.9,455.0
2025-07-11,2025-07-21,32,2231.13,14.95,18.45,790.0
2025-07-11,2025-07-22,31,2248.76,11.95,21.6,775.0
2025-07-11,2025-07-23,30,2283.13,7.3,30.2,380.0
2025-07-11,2025-07-24,29,2252.13,8.9,19.25,1315.0
2025-07-11,2025-07-25,28,2261.07,7.65,19.7,1395.0
2025-07-11,2025-07-28,25,2256.73,6.65,17.6,1705.0
2025-07-11,2025-07-29,24,2242.96,7.7,13.15,2045.0
2025-07-11,2025-07-30,23,2232.4,8.75,9.45,2310.0
