trade_date,calendar_date,dte_remaining,spot,put_mid,call_mid,pnl_usd
2025-05-30,2025-06-27,14,2172.53,0.6,15.8,1065.0
2025-05-30,2025-06-30,11,2175.04,0.375,15.4,1127.5
2025-05-30,2025-07-01,10,2197.54,0.35,23.3,340.0
2025-05-30,2025-07-02,9,2226.68,0.3,39.05,-1230.0
2025-05-30,2025-07-03,8,2249.04,0.325,47.2,-2047.5
2025-05-30,2025-07-07,4,2214.23,0.125,20.2,672.5
2025-05-30,2025-07-08,3,2228.74,0.075,27.95,-97.5
2025-05-30,2025-07-09,2,2252.49,0.075,44.4,-1742.5
2025-05-30,2025-07-10,1,2263.41,0.075,56.45,-2947.5
2025-05-30,2025-07-11,0,2234.83,0.0,24.8301,221.99
2025-06-27,2025-06-27,42,2172.53,16.0,11.45,0.0
2025-06-27,2025-06-30,39,2175.04,14.7,11.2,155.0
2025-06-27,2025-07-01,38,2197.54,12.15,15.65,-35.0
2025-06-27,2025-07-02,37,2226.68,9.6,22.5,-465.0
2025-06-27,2025-07-03,36,2249.04,7.35,24.6,-450.0
2025-06-27,2025-07-07,32,2214.23,9.9,15.95,160.0
2025-06-27,2025-07-08,31,2228.74,7.5,19.1,85.0
2025-06-27,2025-07-09,30,2252.49,5.2,23.25,-100.0
2025-06-27,2025-07-10,29,2263.41,4.3,24.85,-170.0
2025-06-27,2025-07-11,28,2234.83,5.65,16.0,580.0
2025-06-27,2025-07-14,25,2249.73,4.95,18.95,355.0
2025-06-27,2025-07-15,24,2205.05,7.15,9.8,1050.0
2025-06-27,2025-07-16,23,2226.98,5.3,11.9,1025.0
2025-06-27,2025-07-17,22,2253.68,3.65,17.0,680.0
2025-06-27,2025-07-18,21,2240.01,4.15,12.55,1075.0
2025-06-27,2025-07-21,18,2231.13,3.95,9.65,1385.0
2025-06-27,2025-07-22,17,2248.76,2.8,11.7,1295.0
2025-06-27,2025-07-23,16,2283.13,1.3,18.55,760.0
2025-06-27,2025-07-24,15,2252.13,0.9,8.1,1845.0
2025-06-27,2025-07-25,14,2261.07,0.95,7.8,1870.0
2025-06-27,2025-07-28,11,2256.73,0.475,5.85,2112.5
2025-06-27,2025-07-29,10,2242.96,0.675,3.075,2370.0
2025-06-27,2025-07-30,9,2232.4,0.75,1.575,2512.5
2025-06-27,2025-07-31,8,2211.65,0.9,0.625,2592.5
2025-06-27,2025-08-01,7,2166.78,1.425,0.15,2587.5
2025-06-27,2025-08-04,4,2212.3,0.325,0.1,2702.5
2025-06-27,2025-08-05,3,2225.67,0.1,0.1,2725.0
2025-06-27,2025-08-06,2,2221.29,0.075,0.075,2730.0
2025-06-27,2025-08-07,1,2214.72,0.05,0.075,2732.5
2025-06-27,2025-08-08,0,2218.42,0.0,0.0,2745.0
