trade_date,calendar_date,dte_remaining,spot,put_mid,call_mid,pnl_usd
2026-02-06,2026-02-25 00:00:00,23,6946.13,20.2,5.15,4065.0
2026-02-06,2026-02-26 00:00:00,22,6908.86,23.5,2.35,4015.0
2026-02-06,2026-02-27 00:00:00,21,6878.88,29.65,1.4,3495.0
2026-02-06,2026-03-02 00:00:00,18,6881.62,30.2,1.35,3445.0
2026-02-06,2026-03-03 00:00:00,17,6816.63,43.3,0.5,2220.0
2026-02-06,2026-03-04 00:00:00,16,6869.5,26.8,0.675,3852.5
2026-02-06,2026-03-05 00:00:00,15,6830.71,35.2,0.525,3027.5
2026-02-06,2026-03-06 00:00:00,14,6740.02,68.15,0.25,-240.0
2026-02-06,2026-03-09 00:00:00,11,6795.99,36.55,0.2,2925.0
2026-02-06,2026-03-10 00:00:00,10,6781.48,29.95,2.05,3400.0
2026-02-06,2026-03-11 00:00:00,9,6775.8,23.45,0.125,4242.5
2026-02-06,2026-03-12 00:00:00,8,6672.62,41.1,0.075,2482.5
2026-02-06,2026-03-13 00:00:00,7,6632.19,43.95,0.1,2195.0
2026-02-06,2026-03-16 00:00:00,4,6699.38,9.3,0.05,5665.0
2026-02-06,2026-03-17 00:00:00,3,6716.09,3.0,0.05,6295.0
2026-02-06,2026-03-18 00:00:00,2,6624.7,5.4,0.025,6057.5
2026-02-06,2026-03-19 00:00:00,1,6606.49,2.1,0.05,6385.0
2026-02-06,2026-03-20 00:00:00,0,6506.48,0.0,0.0,6600.0
2026-03-06,2026-03-06 00:00:00,42,6740.02,80.45,27.25,0.0
2026-03-06,2026-03-09 00:00:00,39,6795.99,59.45,26.85,2140.0
2026-03-06,2026-03-10 00:00:00,38,6781.48,58.25,26.2,2325.0
2026-03-06,2026-03-11 00:00:00,37,6775.8,53.05,19.8,3485.0
2026-03-06,2026-03-12 00:00:00,36,6672.62,66.2,13.65,2785.0
2026-03-06,2026-03-13 00:00:00,35,6632.19,72.45,9.15,2610.0
